"lagoslakeid","site_id","site_legacyid","site_legacyname","site_lat_decdeg","site_lon_decdeg"
371178,"371178-AB","USGS-385050094505100","CEDAR LK NR OLATHE, KS  13S 23E 10BDC",38.8472222,-94.8475
373121,"373121-AA","USGS-385254094523100","OLATHE LK NR OLATHE, KS  13S 23E 32AAC",38.8817528,-94.8753278
330231,"330231-AB","USGS-483620102260600","LOSTWOOD REFUGE TEMPORARY WETLAND (TP1ASP03)",48.6055556,-102.435
333972,"333972-AA","USGS-483626102262800","LOSTWOOD REFUGE SEMIPERMANENT WETLAND (SM1CNC03)",48.6072222,-102.4411111
373126,"373126-AA","USGS-385857094483500","SHAWNEE MISSION LK AT LENEXA, KS",38.9825,-94.8097222
54981,"54981-AA","USGS-392044094550200","SMITH LK AT OUTLET STRUC. AT FT LEAVENWORTH, KS",39.3455549,-94.9174636
86079,"86079-AA","USGS-392055094551900","MERRITT LK AT GOLFCART BR AT FT LEAVENWORTH, KS",39.3486104,-94.9221859
370278,"370278-AG","USGS-392410099254200","WEBSTER LAKE, KS  07S 19W 34BDD WEB3",39.4027867,-99.4287144
42541,"42541-AA","USGS-394933095314900","HIAWATHA CITY LAKE, KS  03S 17E 05AAB",39.8258333,-95.5302778
453597,"453597-AA","USGS-372144108315201","TOTTEN RESERVOIR NEAR DAM, NEAR CORTEZ",37.3622162,-108.5317579
450402,"450402-AA","USGS-372518108231101","SUMMIT RESERVOIR",37.4216611,-108.3870307
453579,"453579-AA","USGS-372928108372201","NARRAGUINNEP RESERVOIR, CORING SITE",37.4911029,-108.6234287
453558,"453558-AA","USGS-373712107350100","UPPER GRIZZLY LAKE",37.6199994,-107.5842263
453355,"453355-AA","USGS-373740107344700","UPPER SUNLIGHT LAKE",37.6277771,-107.5803374
453559,"453559-AA","USGS-373804107344300","LOWER SUNLIGHT LAKE",37.6344437,-107.5792263
453422,"453422-AA","USGS-374232107330900","WHITE DOME LAKE",37.7088874,-107.5531149
376456,"376456-AA","USGS-380607103300400","LAKE CHERAW C4",38.1019517,-103.501607
376036,"376036-AC","USGS-380610103303100","LAKEACHERAW C3",38.102785,-103.5091073
376563,"376563-AC","USGS-381234105265500","DE WEESE RESERVOIR",38.1999995,-105.4613893
376620,"376620-AC","USGS-382641104492300","TELLER RESERVOIR",38.4447224,-104.8235899
450098,"450098-AE","USGS-382856107050000","BLUE MESA RES. BELOW HWY 149 NEAR GUNNISON, CO",38.4822137,-107.0839377
450040,"450040-AC","USGS-383024107371800","CRYSTAL RESERVOIR AT CRYSTAL DAM NEAR CIMARRON, CO",38.5066535,-107.6222804
376423,"376423-AA","USGS-383945104464400","HAYMES RESERVOIR",38.6624962,-104.7794184
376002,"376002-AA","USGS-384004104453500","NORTHSIDE RESERVOIR",38.6677744,-104.7602514
376422,"376422-AA","USGS-384052104481300","TOWNSEND RESERVOIR",38.6811062,-104.8041405
376619,"376619-AA","USGS-384107104495800","LARGE BIRD FARM RES",38.6852719,-104.8333074
450248,"450248-AB","USGS-384245108015601","GARNET MESA RESERVOIR, MIDLAKE, NEAR DELTA, COLO",38.7124842,-108.0328457
376329,"376329-AB","USGS-384446104412900","BIG JOHNSON RES 1B",38.7461071,-104.6919156
376322,"376322-AA","USGS-384539104452000","PINELLO RECHARGE POND 3",38.7608285,-104.7560836
376170,"376170-AA","USGS-384548104452600","PINELLO RECHARGE POND 5",38.7633285,-104.7577503
376000,"376000-AA","USGS-384612104454800","PINELLO RECHARGE POND 6",38.7699948,-104.7638616
450154,"450154-AA","USGS-384743107533801","FERRIERS (OASIS) POND NEAR AUSTIN",38.7952613,-107.894508
450044,"450044-AB","USGS-385308108191901","CHENEY RESERVOIR",38.8855388,-108.3225826
450337,"450337-AA","USGS-385447107001301","MERIDIAN LAKE NEAR CRESTED BUTTE, CO",38.9130474,-107.0042126
449991,"449991-AB","USGS-385654107211800","PAONIA RESERVOIR",38.9474056,-107.3450417
449126,"449126-AA","USGS-390304108301801","POND NEAR 29 5/8 ROAD, NR GRAND JUNCTION",39.0524817,-108.5084249
449126,"449126-AA","USGS-390310108302501","29 5/8 POND,NORTH SHORE (LIGHT TRAP 6)",39.0527595,-108.5075916
449333,"449333-AA","USGS-390312108295801","PICKUP POND, NEAR 30 ROAD",39.053315,-108.5000913
449126,"449126-AA","USGS-390313108302501","29 5/8 POND, MARSH AREA, MIDDLE SITE",39.0535928,-108.5075916
449235,"449235-AA","USGS-390550108380001","GRAND JCT.PIPE POND AT 22.75 ROAD, WEST SIDE",39.0972222,-108.6333333
449235,"449235-AA","USGS-390551108375501","GRAND JCT.PIPE POND AT 22.75 ROAD,EAST SIDE",39.0975,-108.6319444
449645,"449645-AA","USGS-390612108384801","UPPER SITE AT MARSH AREA, WALKER SWA",39.1033147,-108.6473187
449234,"449234-AB","USGS-390612108385601","WALKER SWA CHANNEL SITE CH18 (SW)",39.1033147,-108.649541
449234,"449234-AB","USGS-390615108385601","NORTH POND SEEPAGE SITE NP5 (SW)",39.104148,-108.649541
449234,"449234-AB","USGS-390620108385201","NORTH POND AT SEEPAGE TEST SITE NP6 (SW)",39.1035924,-108.6484298
449645,"449645-AA","USGS-390621108385001","NORTH POND AT SEEPAGE TEST SITE NP1 (SW)",39.1038702,-108.6478743
449645,"449645-AA","USGS-390622108385101","NORTH POND AT SEEPAGE TEST SITE NP2 (SW)",39.104148,-108.648152
449645,"449645-AA","USGS-390623108385301","NORTH POND AT SEEPAGE TEST SITE NP4 (SW)",39.1047035,-108.6487076
449847,"449847-AA","USGS-391611108503200","HIGHLINE LAKE SITE T1",39.2697018,-108.8428814
449450,"449450-AA","USGS-391735108134901","COLO.R.BACKWATER ALONG I-70, SOUTH OF DEBEQUE",39.2930347,-108.2309156
361327,"361327-AA","USGS-393928105361000","ECHO LAKE",39.6577656,-105.6033344
360813,"360813-AA","USGS-393937105423900","LOWER CABIN CREEK RESERVOIR NR GEORGETOWN, CO",39.6602651,-105.7063936
360289,"360289-AA","USGS-394011105425700","CLEAR LAKE NEAR GEORGETOWN, CO",39.6697095,-105.7013934
359534,"359534-AA","USGS-394032105421700","GREEN LAKE NEAR GEORGETOWN, CO",39.6755429,-105.7052824
451850,"451850-AA","USGS-394749107243300","JET LAKE",39.7969258,-107.4097782
452259,"452259-AA","USGS-394843107243700","BLAIR LAKE",39.8119257,-107.4108895
359576,"359576-AB","USGS-394921105123000","ARVADA RESERVOIR AT MID-LAKE LOCATION",39.8224868,-105.208877
452080,"452080-AA","USGS-394933107251300","CRATER LAKE",39.8258144,-107.4208897
449844,"449844-AB","USGS-395200106161901","GREEN MOUNTAIN RESERVOIR ABOVE CATARACT CREEK",39.8666523,-106.272527
360022,"360022-AA","USGS-395310105414300","ICEBERG LAKE SOUTH",39.8860982,-105.6958376
360292,"360292-AA","USGS-395324105414100","ICEBERG LAKE (NORTH)",39.8899871,-105.695282
360537,"360537-AA","USGS-395345105400600","STOVE LAKE",39.8958205,-105.6688922
452083,"452083-AA","USGS-395345107221600","HORSESHOE LAKE",39.8958145,-107.371723
360298,"360298-AA","USGS-395351105402300","LOWER CRATER LAKE",39.8974871,-105.6736146
452040,"452040-AA","USGS-395418107123400","SHINGLE LAKE",39.9049831,-107.2100536
449361,"449361-AA","USGS-395426107091300","CRESCENT LAKE",39.9072061,-107.1542188
449472,"449472-AA","USGS-395435107093300","MACKINAW LAKE",39.9097061,-107.1597745
361092,"361092-AA","USGS-395527105294700","MANCHESTER LAKE",39.9241538,-105.4969416
449265,"449265-AA","USGS-395535107100600","UPPER ISLAND LAKE",39.9263726,-107.1689415
449571,"449571-AA","USGS-395554107094500","ISLAND LAKE FLAT TOPS, WHITE R NAT FOREST, CO",39.9316505,-107.163108
359560,"359560-AA","USGS-395621105340200","LAKE ELDORA",39.9391537,-105.5677776
452084,"452084-AA","USGS-395629107221900","UPPER MARVINE LAKE",39.9413698,-107.3725567
452200,"452200-AA","USGS-395631107230201","LOWER MARVINE LAKE",39.9419252,-107.3845013
451867,"451867-AA","USGS-395644107115500","PARVIN LAKE",39.9455388,-107.1992201
359548,"359548-AA","USGS-395703105370000","LOST LAKE",39.9508203,-105.6172239
452091,"452091-AA","USGS-395705107154000","STAR LAKE IN FLAT TOPS WILDERNESS, CO",39.9513889,-107.2611111
452217,"452217-AB","USGS-395710107142500","WALL LAKE",39.9527604,-107.2408879
359817,"359817-AA","USGS-395839105194900","KOSSLER LAKE",39.9774861,-105.3308254
451852,"451852-AA","USGS-395845107205000","MARY LOCH",39.9791477,-107.3478343
452146,"452146-AA","USGS-395926107171800","BIG FISH LAKE",39.9905374,-107.2889444
452087,"452087-AA","USGS-400012107175400","DORIS LAKE IN FLAT TOPS WILDERNESS, CO",40.0033333,-107.2983333
449227,"449227-AC","USGS-400024106114501","WILLIAMS FORK RESERVOIR,WILLIAMS FORK ARM",40.0066523,-106.1964132
360296,"360296-AA","USGS-400045105410700","LAKE DORATHY",40.0124868,-105.6858378
452265,"452265-AA","USGS-400138107122100","MCGINNIS LAKE",40.027205,-107.2064427
452204,"452204-AA","USGS-400139107202200","MIRROR LAKE",40.0274808,-107.3400566
360552,"360552-AA","USGS-400141105343700","SILVER LAKE",40.0280421,-105.5775006
359798,"359798-AA","USGS-400142105352700","ISLAND LAKE BELOW SILVER LAKE NEAR CARIBOU, CO",40.0283199,-105.59139
451927,"451927-AA","USGS-400155107124200","SKINNY FISH LAKE",40.031927,-107.2122762
451984,"451984-AA","USGS-400406107134800","DEEP LAKE IN FLAT TOPS WILDERNESS, CO",40.0683333,-107.23
452151,"452151-AA","USGS-400420107141400","WEST LOST LAKE IN FLAT TOPS WILDERNESS, CO",40.0722222,-107.2372222
360839,"360839-AA","USGS-400431105351300","LONG LAKE",40.075264,-105.5875012
360842,"360842-AA","USGS-400443105342000","BRAINARD LAKE",40.0785972,-105.5727784
359801,"359801-AA","USGS-400457105322800","RED ROCK LAKE",40.0824861,-105.5416662
360849,"360849-AA","USGS-400459105303700","DUCK LAKE",40.0830416,-105.5108317
359806,"359806-AA","USGS-400503105264700","GOLD LAKE",40.0841526,-105.4469405
359566,"359566-AA","USGS-400619105292800","TUMBLESON LAKE",40.1052636,-105.4916644
451948,"451948-AA","USGS-400628108424601","KENNEY RESERVOIR AT DAM NEAR RANGELY, CO.",40.1077539,-108.7134378
361335,"361335-AA","USGS-400705105324400","BIG STAPP LAKE",40.1180413,-105.5461109
360051,"360051-AA","USGS-400708105311000","BEAVER RESERVOIR",40.1188746,-105.5199988
360316,"360316-AA","USGS-400751105280200","MINNIE LAKE",40.1308189,-105.4677747
360555,"360555-AA","USGS-401307105320900","COPELAND LAKE",40.2185959,-105.5363888
360883,"360883-AA","USGS-401324105072100","TERRY LAKE",40.2233181,-105.123039
449940,"449940-AA","USGS-401355105435101","LONE PINE LAKE OUTLET IN RMNP, CO",40.23205,-105.7307056
360300,"360300-AA","USGS-401655105395402","GLASS LAKE HYPOLIMNION - LOCH VALE",40.2819291,-105.6655605
360314,"360314-AA","USGS-401826105321500","LILY LAKE",40.3072064,-105.5380552
361318,"361318-AA","USGS-401835105392300","DREAM LAKE",40.3097067,-105.6569489
359546,"359546-AA","USGS-401845105384600","BEAR LAKE",40.3124844,-105.6466707
360306,"360306-AA","USGS-401913105361101","SPRAGUE LAKE OUTLET IN RMNP, CO",40.3201417,-105.6029222
361082,"361082-AA","USGS-401938105372200","BIERSTADT LAKE",40.3272065,-105.6233363
359517,"359517-AD","USGS-402009105130700","CARTER RESERVOIR AT MIDDLE SITE",40.3358178,-105.2191528
359562,"359562-AA","USGS-402032105314700","MARYS LAKE",40.3422062,-105.5302769
361312,"361312-AA","USGS-402032105411501","SPRUCE LAKE IN RMNP, CO",40.3422222,-105.6875
360545,"360545-AA","USGS-402046105382801","CUB LAKE IN RMNP, CO",40.3459472,-105.6402028
451947,"451947-AA","USGS-402654106393801","FISH HOOK LAKE NEAR MOUNT ZIRKEL WILDERNESS, CO",40.448313,-106.6611538
360035,"360035-AA","USGS-402714105394201","FAY LAKES IN RMNP, CO",40.4538889,-105.6616667
451889,"451889-AA","USGS-402715106391301","LOST LAKE NEAR MOUNT ZIRKEL WILDERNESS, CO",40.4541463,-106.654209
452287,"452287-AA","USGS-402809106393201","LITTLE LOST LAKE NEAR MOUNT ZIRKEL WILDERNESS, CO",40.469146,-106.6594871
357729,"357729-AA","USGS-402822106394401","ROUND LAKE NEAR MOUNT ZIRKEL WILDERNESS, CO",40.472757,-106.6628207
452285,"452285-AA","USGS-402833106412400","LONG LAKE RESERVOIR",40.475812,-106.6905999
360045,"360045-AA","USGS-403028105371300","LOUISE S",40.5077609,-105.620835
360045,"360045-AA","USGS-403028105371301","LOUISE H",40.5077609,-105.620835
359551,"359551-AA","USGS-403029105360401","LOST LAKE IN RMNP, CO",40.5080556,-105.6011111
361329,"361329-AA","USGS-403033105363800","HUSTED S",40.5091498,-105.6111123
361329,"361329-AA","USGS-403033105363802","LAKE HUSTED OUTLET",40.5091498,-105.6111123
452175,"452175-AA","USGS-403044106415400","LAKE DINOSAUR",40.5122001,-106.6989337
358001,"358001-AA","USGS-403306106403800","JONAH LAKE",40.5516441,-106.677821
358758,"358758-AA","USGS-403308106402100","LAKE MZ-B-14",40.5521998,-106.6730986
358002,"358002-AA","USGS-403325106402600","WHALE LAKE",40.5569219,-106.6744875
451890,"451890-AC","USGS-403333107230100","ELKHEAD RESERVOIR SITE 3B",40.5591386,-107.384228
451890,"451890-AC","USGS-403336107230700","ELKHEAD RESERVOIR SITE 3A",40.5599719,-107.3858947
452113,"452113-AA","USGS-403743106455300","SNOWSTORM LAKE",40.6285863,-106.765324
451884,"451884-AA","USGS-403744106444701","ROSA LAKE IN MOUNT ZIRKEL WILDERNESS, CO",40.6288642,-106.74699
452237,"452237-AA","USGS-403746106460700","FISH HAWK LAKE SNOW SITE, CO",40.6294195,-106.769213
451885,"451885-AA","USGS-403759106445100","MIRROR LAKE IN MT SIRKEL WILDERNESS",40.6330308,-106.7481012
452284,"452284-AA","USGS-403803106422501","LAKE ELBERT INFLOW",40.6341423,-106.7075437
452283,"452283-AA","USGS-403829106431500","LUNA LAKE IN MOUNT ZIRKEL WILDERENSS, CO",40.6413643,-106.7214331
357493,"357493-AA","USGS-403921106395501","UPPER SLIDE LAKE IN MOUNT ZIRKEL WILDERNESS, CO",40.655809,-106.6658748
359295,"359295-AC","USGS-404208106272000","SOUTH DELANEY LAKE",40.7021986,-106.4561433
358780,"358780-AC","USGS-404245106275900","NORTH DELANEY LAKE",40.7124761,-106.466977
359224,"359224-AB","USGS-404555106275300","LAKE JOHN DUP1",40.7652528,-106.46531
452001,"452001-AD","USGS-404728106564200","STEAMBOAT LAKE",40.7910822,-106.9456059
357499,"357499-AB","USGS-405607106363500","LOWER BIG CREEK LAKE",40.9352489,-106.6103146
169576,"169576-AA","USGS-02196838","BUTLER CREEK RESERVOIR AT FORT GORDON, GA",33.4258333,-82.0991667
226442,"226442-AB","USGS-02338720","CHATTAHOOCHEE RIVER NEAR LAGRANGE, GA",33.0784563,-85.1107739
214511,"214511-AA","USGS-304633082244901","POND NO 2 AT THE POCKET (OKEFENOKEE NWR), GA",30.7758333,-82.4136111
182808,"182808-AA","USGS-304953081260901","LAKE RETTA, CUMBERLAND ISLAND, GA.",30.8313889,-81.4358333
182808,"182808-AA","USGS-304953081261701","LAKE RETTA COMPLEX 420 FEET SOUTH OF FOOT BRIDGE",30.8316249,-81.4378713
182808,"182808-AA","USGS-304957081261401","LAKE RETTA COMPLEX AT FOOTBRIDGE ON WILLOW POND TR",30.8325,-81.4372222
184259,"184259-AA","USGS-305356081245701","WHITNEY LAKE, CUMBERLAND ISLAND, GA.",30.8988889,-81.4158333
168358,"168358-AA","USGS-313707081164301","LUCAS POND (HARRIS NECK NWR) NR SOUTH NEWPORT, GA",31.619081,-81.2786272
169226,"169226-AA","USGS-313814081162701","SNIPE POND 2 (HARRIS NECK NWR) NR S NEWPORT, GA",31.6373307,-81.2742665
172540,"172540-AA","USGS-313835081160201","GOOSE POND (HARRIS NECK NWR) NR SOUTH NEWPORT, GA",31.6431917,-81.2674053
167582,"167582-AA","USGS-320006081093901","HAAF Halstrum Pond",32.0015611,-81.1608694
168384,"168384-AA","USGS-320051081070601","HAAF Wilson Pond",32.0141111,-81.1183806
168381,"168381-AA","USGS-320143081082701","HAAF Oglethorpe Pond",32.02855,-81.1407806
166767,"166767-AA","USGS-320829081081901","KINGS IS DREDGE IMP (SAV NWR) NR PT WENTWORTH, GA",32.1415833,-81.13875
109495,"109495-AC","USGS-05417480","Hartwick Lake, Lower Section, near Delhi, IA",42.4073333,-91.3470833
4717,"4717-AE","USGS-05453460","Lake Macbride site 9",41.7919291,-91.535033
115937,"115937-AA","USGS-06609436","Manteno Park Pond Core No 1 near Dunlap, IA",41.8576944,-95.4587222
5252,"5252-AD","USGS-06898140","Nine Eagles Lake site 4",40.5984754,-93.7710293
5252,"5252-AD","USGS-06898145","Nine Eagles Lake site 5",40.5970865,-93.7718071
16177,"16177-AA","USGS-06903045","Humeston Reservoir at Golf Course Rd, Humeston, IA",40.8772247,-93.506326
126441,"126441-AE","USGS-0690367680","Corydon Lake, 950 ft Upstream of Dam, Corydon, IA",40.7522279,-93.3335455
126441,"126441-AE","USGS-0690367690","Corydon Lake, 350 ft Upstream of Dam, Corydon, IA",40.7522279,-93.3327122
76635,"76635-AA","USGS-404230092535101","068N18W11ABAB           Centerville Impd Reservoir",40.7083471,-92.8976998
76635,"76635-AA","USGS-404231092534900","Upper City Reservoir at Centerville, IA",40.7086249,-92.8971442
104592,"104592-AA","USGS-404245092530601","Lower City Reservoir at Centerville, IA",40.712514,-92.8851993
119084,"119084-AA","USGS-404430094142500","Lake Ayr Dam near Mount Ayr, IA",40.7416589,-94.2405097
31808,"31808-AA","USGS-404502092264001","Lake Fisher Inlet near Bloomfield, IA",40.7505771,-92.4446302
19195,"19195-AA","USGS-404518092263101","069N14W23CCDA           Lake Fisher",40.7550215,-92.4421302
4652,"4652-AA","USGS-404744093462700","Little River Lake Sedimentation Pond near Leon, IA",40.7955559,-93.7743884
5171,"5171-AC","USGS-405118092523418","Rathbun Lake Buck Cr Marina RA-18",40.8550107,-92.8763093
110772,"110772-AB","USGS-405407094330700","East Lake Inlet at Lennox, IA",40.9019324,-94.552187
121014,"121014-AC","USGS-410049093150701","Lake Morris Dam near Chariton, IA",41.013611,-93.2521527
140483,"140483-AB","USGS-410049094424700","Lake Binder Inlet near Corning, IA",41.0135975,-94.713306
91076,"91076-AA","USGS-410128091572300","Lower Reservoir No 1 at Fairfield, IA",41.0244642,-91.9565615
92092,"92092-AA","USGS-410205091565100","Upper Reservoir No 2 at Fairfield, IA",41.0347419,-91.9476725
4653,"4653-AB","USGS-410223093481800","West Lake Dam near Osceola, IA",41.039718,-93.8052209
102341,"102341-AA","USGS-410301092491900","Albia East Reservoir Inlet near Albia, IA",41.0502849,-92.8221409
5336,"5336-AA","USGS-411145094260801","Lake Orient Dam near Orient, IA",41.1958216,-94.4357964
5336,"5336-AA","USGS-411146094261601","074N31W20ADBC       1970Orient Lake",41.1960994,-94.4380187
5496,"5496-AB","USGS-411754094285201","Lake Greenfield Dam near Greenfield, IA",41.2983212,-94.481355
137571,"137571-AC","USGS-412217093594400","Cedar Lake Dam near Winterset, IA",41.3713791,-93.9957836
5383,"5383-AB","USGS-413532092324200","Diamond Lake Inlet at Montezuma, IA",41.5922225,-92.5451874
4870,"4870-AA","USGS-432607095201600","Silver Lake (Deep) at Lake Park, IA",43.4352427,-95.3380567
5040,"5040-AA","USGS-432813095070300","Big Spirit Lake (Deep) at Marble Beach",43.4702395,-95.117773
463793,"463793-AA","USGS-13115000","MUD LAKE NR TERRETON ID",43.8913889,-112.3580556
460180,"460180-AB","USGS-472120116451000","CHATCOLET LK 0.4 MI NW OF ROCKY PT NR PLUMMER",47.3554606,-116.7537846
458728,"458728-AB","USGS-472244116450300","EAST TRESTLE, LITTORAL ZONE, COEUR D'ALENE LAKE ID",47.3788889,-116.7508333
458686,"458686-AA","USGS-472656116394000","BLACK LAKE NR HARRISON, ID",47.4487977,-116.6621195
457596,"457596-AA","USGS-472800116445000","ANDERSON LAKE NR HARRISON, ID",47.466573,-116.7482339
459884,"459884-AA","USGS-472810116350000","MEDICINE LAKE NR HARRISON, ID",47.4693559,-116.5843402
458316,"458316-AA","USGS-472815116381000","SWAN LAKE NR HARRISON, ID",47.4707432,-116.6371196
458370,"458370-AA","USGS-472926116431500","THOMPSON LAKE NR HARRISON, ID",47.490463,-116.7218453
457654,"457654-AA","USGS-473145116283000","BULL RUN LAKE NR ROSE LAKE, ID",47.5290811,-116.4760063
459513,"459513-AA","USGS-473308116280000","ROSE LAKE NR ROSE LAKE, ID",47.5521363,-116.467674
98344,"98344-AC","USGS-05586760","OTTER LAKE NEAR PALMYRA, IL",39.4627778,-89.9011111
25304,"25304-AA","USGS-373745088132101","EAGLE PIT #10E",37.6292149,-88.2225356
120775,"120775-AA","USGS-373955088464201","WILL SCARLET PIT #7",37.6653276,-88.778395
93968,"93968-AC","USGS-373958088451501","WILL SCARLET PIT #8",37.6661608,-88.7542272
48582,"48582-AA","USGS-375207089165501","VCR",37.8686618,-89.28203
48582,"48582-AA","USGS-375207089165502","VCR BOTTOM",37.8686618,-89.28203
118937,"118937-AA","USGS-375428089163401","VCG",37.9078284,-89.276196
118937,"118937-AA","USGS-375428089163402","VCG BOTTOM",37.9078284,-89.276196
73341,"73341-AB","USGS-380034089241701","SPRING LAKE IN PYRAMID STATE PARK",38.0094955,-89.4048117
6395,"6395-AA","USGS-380147089252501","WESSELN CUT IN PYRAMID STATE PARK",38.0297733,-89.4237012
6395,"6395-AA","USGS-380150089253201","WEST ARM WESSELN CUT IN PYRAMID STATE PARK",38.0306067,-89.4256457
124237,"124237-AA","USGS-380328089332501","EAST C STREAMLINE",38.0578288,-89.5570394
43441,"43441-AA","USGS-382345089530501","LONG LAKE AT RED RAY NR FREEBURG IL",38.395883,-89.8848244
44478,"44478-AA","USGS-382425089524401","HIGHWALL LAKE AT RED RAY NR FREEBURG IL",38.4069941,-89.8789908
11627,"11627-AA","USGS-400801087435301","HIGH POND NR OAKWOOD, IL",40.1336473,-87.7314129
7341,"7341-AB","USGS-400818087442701","CLEAR POND NR OAKWOOD, IL",40.1383695,-87.7408576
138842,"138842-AA","USGS-400829087440101","BIG POPS LAKE",40.1414251,-87.7336352
82802,"82802-AA","USGS-403108090071501","R10",40.5189285,-90.1209526
105499,"105499-AB","USGS-403412090031701","BOND LAKE AT CANTON",40.5700389,-90.0548395
72272,"72272-AA","USGS-403525090033801","Y LAKE NR NORRIS",40.5903166,-90.0606729
138577,"138577-AA","USGS-403538090032701","NORRIS E LAKE",40.5939276,-90.0576172
262469,"262469-AA","USGS-03310900","NOLIN LAKE NEAR KYROCK, KY",37.2783825,-86.247473
261515,"261515-AA","USGS-03318005","ROUGH RIVER LAKE NEAR FALLS OF ROUGH, KY",37.6200555,-86.499425
408137,"408137-AB","USGS-07355300","IATT LK NR COLFAX, LA",31.5493401,-92.6543139
409262,"409262-AA","USGS-07355431","LAKE BUHLOW (SITE 2) @ PINEVILLE, LA",31.3376817,-92.4415261
406898,"406898-AA","USGS-07355433","LAKE BUHLOW (SITE 1) @ PINEVILLE, LA",31.3407372,-92.4373593
293293,"293293-AA","USGS-07364840","Lake Claiborne near Aycock, LA",32.7408333,-92.9030556
305677,"305677-AA","USGS-07381950","COCODRIE LK NR CLEARWATER, LA",30.9593583,-92.4548573
302945,"302945-AA","USGS-07382123","LK CHICOT @ DAM NR ST. LANDRY, LA",30.8185283,-92.269294
300659,"300659-AB","USGS-302735091110501","Capitol Lake @ I-110",30.4599127,-91.1848296
318807,"318807-AA","USGS-06091852","Mission Lake nr Blackfoot MT",48.5633123,-112.6311756
