"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","DOC_PPM","NO3N_PPM","CHLA_PPB","NTL_PPM","NH4N_PPM","PTL_PPB","DIN_PPM","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"11",2010187,"NLA17_KY-10001",1,"6-Jun-17",1.98,8e-04,2.2,0.121,0.005,5.91625,0.0058,"PROB","SAP","Southern Appalachians",-83.70503,36.68168,"Region_04",8.436928876,"Urban","MAN_MADE",90.55715,390,"H05120113","NLA_KY-10003",45.2259482133975,8.63853787392018e-06,3.56964374955379e-07,5.71142999928607e-08,1.91008441285951e-07,0.000164862614487927,4.1407867494824e-07,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"12",2010188,"NLA17_ND-10008",1,"6-Jun-17",27.45,0.1936,26.4,3.174,0.108,207.63875,0.3016,"PROB","NPL","Northern Plains",-100.3903,47.27222,"Region_08",16.53898413,"Non-Urban","NATURAL",198.355,587,"H10130101","NLA_ND-10091",33.8023850787412,0.000226600985221675,7.7104304990362e-06,1.38216605982723e-05,6.70369811756826e-06,0.00228559533721898,2.15320910973085e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"13",2010189,"NLA17_TX-10001",1,"6-Jun-17",5.76,0.1997,22.77,1.074,0.031,134.5625,0.2307,"PROB","SPL","Southern Plains",-96.45375,32.94443,"Region_06",169.1976536,"Urban","MAN_MADE",13.83962,145,"H12030106","NLA_TX-10054",17.6493640968525,7.66759477404155e-05,2.21317912472335e-06,1.42571571357179e-05,4.34440285325008e-06,0.000479600333055787,1.64703362604412e-05,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"14",2010190,"NLA17_KS-10005",1,"6-Jun-17",7.15,0,21.44,0.959,0.018,66.83625,0.018,"PROB","TPL","Temperate Plains",-95.04207,39.34876,"Region_07",326.258219,"Urban","MAN_MADE",4.302133,288,"H10240011","NLA_KS-10045",31.7289251816965,6.84657671164418e-05,1.28507174983937e-06,0,2.15783442787207e-06,0.00059533721898418,1.28507174983937e-06,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"15",2010191,"NLA17_NV-10002",1,"6-Jun-17",6.64,0,1.26,0.61,0.013,17.75,0.013,"PROB","XER","Xeric",-115.1171,38.39816,"Region_09",2.649560151,"Non-Urban","MAN_MADE",72.28422,1575,"H15010011","NLA_NV-10007",75.9941752213632,4.35496537445563e-05,9.28107374883987e-07,0,5.73065680595923e-07,0.000552872606161532,9.28107374883987e-07,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"16",2010192,"NLA17_NV-10006",1,"5-Jun-17",1.32,0,2.75,0.165,0.005,21.74875,0.005,"PROB","XER","Xeric",-117.1657,39.24104,"Region_09",6.532128325,"Non-Urban","MAN_MADE",5.804787,2255,"H16060004","NLA_NV-10112",16.7763883682456,1.17798243735275e-05,3.56964374955379e-07,0,7.02166885682286e-07,0.000109908409658618,3.56964374955379e-07,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"17",2010193,"NLA17_KY-10006",1,"7-Jun-17",3.33,0.0022,16.88,0.386,0.011,16.17625,0.0132,"PROB","SAP","Southern Appalachians",-84.67911,37.48693,"Region_04",15.70643045,"Urban","MAN_MADE",14.35252,323,"H05100205","NLA_KY-10045",52.7664993106591,2.75576497465553e-05,7.85321624901835e-07,1.57064324980367e-07,5.22256547365622e-07,0.000277268942547877,9.42385949882202e-07,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"18",2010194,"NLA17_TX-10019",1,"7-Jun-17",7.78,7e-04,13.18,0.966,0.015,53.165,0.0157,"PROB","SPL","Southern Plains",-96.7321,32.0567,"Region_06",185.4062626,"Non-Urban","MAN_MADE",5.472042,160,"H12030108","NLA_TX-10181",40.1790937102125,6.89655172413793e-05,1.07089312486614e-06,4.99750124937531e-08,1.716452783599e-06,0.000647793505412157,1.12086813735989e-06,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"19",2010195,"NLA17_TN-10004",1,"7-Jun-17",3.89,0.0051,64,1.138,0.014,48.5825,0.0191,"PROB","SAP","Southern Appalachians",-86.91358,36.30417,"Region_04",49.23238577,"Urban","MAN_MADE",25.1163,197,"H05060002","NLA_TN-10040",51.7977900490015,8.12450917398444e-05,9.99500249875062e-07,3.64103662454487e-07,1.56850498183388e-06,0.000323896752706078,1.36360391232955e-06,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"20",2010196,"NLA17_MO-HP002",1,"7-Jun-17",6.43,0.0012,2.88,0.691,0.022,25.2025,0.0232,"HAND","TPL","Temperate Plains",-94.03102,40.3133,"Region_07",0,"Non-Urban","MAN_MADE",20.95756,280.45,"H10280101","NLA_MO-10087",60.6293974630948,4.93324766188334e-05,1.57064324980367e-06,8.56714499892911e-08,8.1367255297007e-07,0.000535387177352207,1.65631469979296e-06,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"21",2010197,"NLA17_IA-HP002",1,"7-Jun-17",6.49,0,1.79,0.495,0.02,11.1925,0.02,"HAND","TPL","Temperate Plains",-93.772298,40.596744,"Region_07",0,"Non-Urban","MAN_MADE",28.36682,285.83,"H10280102","NLA_IA-10042",97.7973133412234,3.53394731205826e-05,1.42785749982152e-06,0,3.61354232679992e-07,0.000540383014154871,1.42785749982152e-06,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"22",2010198,"NLA17_ND-10035",1,"7-Jun-17",27.05,0.1826,66.8,5.156,0.037,266.94625,0.2196,"PROB","NPL","Northern Plains",-99.48298,46.3599,"Region_08",24.88253601,"Non-Urban","NATURAL",32.50486,600,"H10130104","NLA_ND-10155",42.7108203051801,0.000368101663453987,2.64153637466981e-06,1.30363389733705e-05,8.61846391204391e-06,0.00225228975853455,1.56778753480403e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"23",2010199,"NLA17_ND-10004",1,"7-Jun-17",25.2,0.1655,87.2,5.294,0.039,523.64125,0.2045,"PROB","NPL","Northern Plains",-99.51996,46.36831,"Region_08",16.58353078,"Non-Urban","NATURAL",103.3136,600,"H10130104","NLA_ND-10002",22.3562477776928,0.000377953880202756,2.78432212465196e-06,1.18155208110231e-05,1.69059622151746e-05,0.00209825145711907,1.4599842935675e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"24",2010200,"NLA17_GA-10002",1,"7-Jun-17",12.45,8e-04,67.73,1.37,0.024,182.45,0.0248,"PROB","CPL","Coastal Plains",-81.89276,33.29943,"Region_04",368.3207443,"Urban","NATURAL",5.011123,31,"H03060106","NLA_GA-10018",16.6044894936003,9.7808238737774e-05,1.71342899978582e-06,5.71142999928607e-08,5.89046948871696e-06,0.00103663613655287,1.77054329977868e-06,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"25",2010201,"NLA17_KS-10001",1,"7-Jun-17",8.54,1.3966,9.76,2.813,0.101,498.325,1.4976,"PROB","SPL","Southern Plains",-97.37486,39.3321,"Region_07",16.78702206,"Non-Urban","MAN_MADE",10.23476,415,"H10250017","NLA_KS-10021",12.482623886525,0.000200828157349896,7.21068037409867e-06,9.97072892125366e-05,1.60886171990402e-05,0.000711074104912573,0.000106917969586635,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"26",2010202,"NLA17_SD-10020",1,"7-Jun-17",10.78,0,59.36,2.8,0.02,255.39,0.02,"PROB","NPL","Northern Plains",-99.31405,44.47741,"Region_08",149.9265215,"Non-Urban","MAN_MADE",4.904037,590,"H10140103","NLA_SD-10107",24.2439272145125,0.000199900049975012,1.42785749982152e-06,0,8.24536586858551e-06,0.000897585345545379,1.42785749982152e-06,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"27",2010203,"NLA17_KS-10028",1,"8-Jun-17",7.65,3.302,18.68,5.056,0.044,99.48,3.346,"PROB","TPL","Temperate Plains",-96.55958,39.83551,"Region_07",542.8919269,"Urban","MAN_MADE",1.463176,395,"H10270205","NLA_KS-10085",112.388045064928,0.00036096237595488,3.14128649960734e-06,0.000235739273220533,3.21175064257366e-06,0.000636969192339717,0.00023888055972014,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"28",2010204,"NLA17_NV-10016",1,"7-Jun-17",6.46,0,2.47,0.629,0.019,36.98625,0.019,"PROB","XER","Xeric",-114.2679,37.90785,"Region_09",7.404893297,"Non-Urban","MAN_MADE",23.50032,1604,"H15010013","NLA_NV-10064",37.6061758796147,4.49061183693867e-05,1.35646462483044e-06,0,1.19411552275724e-06,0.000537885095753539,1.35646462483044e-06,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"29",2010205,"NLA17_NV-10239",1,"8-Jun-17",2.5,0.3162,1.55,0.449,0.007,44.10625,0.3232,"PROB","XER","Xeric",-114.4095,36.50496,"Region_09",1.630095905,"Non-Urban","MAN_MADE",10.91071,366,"H15010005","NLA_NV-10094",22.5110127777497,3.20554008709931e-05,4.99750124937531e-07,2.25744270721782e-05,1.42398750280473e-06,0.000208159866777685,2.30741771971157e-05,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"30",2010206,"NLA17_TX-HP003",1,"8-Jun-17",7.64,0,26.27,0.875,0.013,43.31875,0.013,"HAND","CPL","Coastal Plains",-95.92578522,33.7351029,"Region_06",0,"Non-Urban","MAN_MADE",143.5869,153.02,"H11140101","NLA_TX-10096",44.6664014667028,6.24687656171914e-05,9.28107374883987e-07,0,1.39856275782054e-06,0.000636136552872606,9.28107374883987e-07,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"31",2010207,"NLA17_TN-10001",1,"8-Jun-17",2.97,0.0707,114.05,1.445,0.016,409.8625,0.0867,"PROB","SAP","Southern Appalachians",-86.3815,35.37137,"Region_04",49.78187904,"Urban","MAN_MADE",12.42384,265,"H07010203","NLA_TN-10017",7.79611955712432,0.000103162704362105,1.14228599985721e-06,5.04747626186907e-06,1.32325708458167e-05,0.00024729392173189,6.18976226172628e-06,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"32",2010208,"NLA17_CA-10001",1,"6-Jun-17",4.16,0.0045,21.12,0.558,0.012,49.845,0.0165,"PROB","XER","Xeric",-122.7434,38.07833,"Region_09",6.633373618,"Urban","MAN_MADE",335.3417,51,"H18050005","NLA_CA-10037",24.754914282801,3.98372242450204e-05,8.56714499892911e-07,3.21267937459841e-07,1.60926528728472e-06,0.000346378018318068,1.17798243735275e-06,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"33",2010209,"NLA17_WV-10003",1,"6-Jun-17",4.08,0.0011,3.67,0.329,0.012,9.505,0.0131,"PROB","SAP","Southern Appalachians",-78.59737,39.13362,"Region_03",5.882763554,"Non-Urban","MAN_MADE",15.43864,391,"H02070003","NLA_WV-10026",76.5407308921026,2.3488255872064e-05,8.56714499892911e-07,7.85321624901835e-08,3.0687263628531e-07,0.000339716902581182,9.35246662383094e-07,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"34",2010210,"NLA17_ND-10006",1,"8-Jun-17",27.19,0.1731,1.58,3.038,0.246,118.25625,0.4191,"PROB","NPL","Northern Plains",-99.41651,46.89273,"Region_08",61.49389474,"Non-Urban","NATURAL",17.21388,531,"H10130103","NLA_ND-10029",56.8083917752851,0.000216891554222889,1.75626472478047e-05,1.23581066609552e-05,3.81794920512516e-06,0.00226394671107411,2.99207539087599e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"35",2010211,"NLA17_MO-HP004",1,"8-Jun-17",5.14,0,5.58,0.453,0.012,13.7775,0.012,"HAND","TPL","Temperate Plains",-92.65559555,40.17059749,"Region_07",0,"Urban","MAN_MADE",252.5045,242.76,"H10280202","NLA_MO-10089",72.7070644893433,3.23409723709574e-05,8.56714499892911e-07,0,4.44811967009033e-07,0.000427976686094921,8.56714499892911e-07,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"36",2010212,"NLA17_TX-10017",1,"8-Jun-17",10.77,0,69.6,1.496,0.022,175.3325,0.022,"PROB","SPL","Southern Plains",-96.20017,32.46571,"Region_06",1720.492717,"Non-Urban","MAN_MADE",3.514443,117,"H12030107","NLA_TX-10155",18.8676580429556,0.00010680374098665,1.57064324980367e-06,0,5.66067822214561e-06,0.000896752706078268,1.57064324980367e-06,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"37",2010213,"NLA17_UT-10013",1,"8-Jun-17",8.7,0.179,90,3.93,0.02,426.8175,0.199,"PROB","XER","Xeric",-112.1546,41.17782,"Region_08",13.37835911,"Urban","NATURAL",2.610056,1285,"H16020102","NLA_UT-10340",20.3610026744999,0.000280573998714928,1.42785749982152e-06,1.27793246234026e-05,1.3779969641e-05,0.000724396336386345,1.42071821232241e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"38",2010214,"NLA17_AR-10001",1,"7-Jun-17",10.35,9e-04,23.89,0.631,0.012,40.31875,0.0129,"PROB","CPL","Coastal Plains",-92.27375,34.53937,"Region_06",63.91637438,"Non-Urban","MAN_MADE",105.785,73,"H11110207","NLA_AR-10020",34.6075717740271,4.50489041193689e-05,8.56714499892911e-07,6.42535874919683e-08,1.30170658645222e-06,0.000861781848459617,9.20968087384879e-07,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"39",2010215,"NLA17_NV-10124",1,"9-Jun-17",2.21,0.1786,3.3,0.634,0.053,20.4375,0.2316,"PROB","XER","Xeric",-115.1136,36.0658,"Region_09",15.19126674,"Urban","MAN_MADE",2.415007,614,"H15010015","NLA_NV-10260",68.5978202920628,4.52630827443421e-05,3.78382237452702e-06,1.27507674734062e-05,6.59832667446714e-07,0.000184013322231474,1.65345898479332e-05,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"40",2010216,"NLA17_MO-HP003",1,"9-Jun-17",5.73,0,8.96,0.58,0.014,27.92125,0.014,"HAND","TPL","Temperate Plains",-91.15320109,39.34170139,"Region_07",0,"Urban","MAN_MADE",19.66697,241.3,"H07080101","NLA_MO-10088",45.9348142590106,4.1407867494824e-05,9.99500249875062e-07,0,9.01448458272615e-07,0.000477102414654455,9.99500249875062e-07,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"41",2010217,"NLA17_KS-10034",1,"9-Jun-17",5.2,0,8.32,0.693,0.018,17.9125,0.018,"PROB","TPL","Temperate Plains",-95.62764,39.00367,"Region_07",13.71850117,"Urban","MAN_MADE",154.9541,292,"H10270102","NLA_KS-10091",85.5511515087397,4.94752623688156e-05,1.28507174983937e-06,0,5.7831205654504e-07,0.000432972522897585,1.28507174983937e-06,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"42",2010218,"NLA17_CA-10082",1,"7-Jun-17",6.27,0,16.41,0.834,0.016,35.15625,0.016,"PROB","XER","Xeric",-120.3545,37.54158,"Region_09",8.765044119,"Non-Urban","MAN_MADE",26.55921,121,"H18040008","NLA_CA-10201",52.458073198488,5.95416577425573e-05,1.14228599985721e-06,0,1.13503325822256e-06,0.000522064945878435,1.14228599985721e-06,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"43",2010219,"NLA17_OK-10001",1,"7-Jun-17",6.78,0,16.8,0.828,0.012,56.49,0.012,"PROB","SPL","Southern Plains",-96.70763,34.9645,"Region_06",19.61112779,"Non-Urban","MAN_MADE",533.124,281,"H11090202","NLA_OK-10060",32.412131357309,5.91133004926108e-05,8.56714499892911e-07,0,1.82380170686556e-06,0.000564529558701082,8.56714499892911e-07,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"44",2010220,"NLA17_WV-10002",1,"7-Jun-17",1.83,0.0773,2.5,0.255,0.011,3.67625,0.0883,"PROB","SAP","Southern Appalachians",-80.5897,38.82171,"Region_03",3.438154929,"Non-Urban","MAN_MADE",334.3316,238,"H05030103","NLA_WV-10008",153.385381618027,1.82051831227244e-05,7.85321624901835e-07,5.51866923681017e-06,1.18689166664268e-07,0.000152373022481266,6.303990861712e-06,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"45",2010221,"NLA17_WV-10004",1,"8-Jun-17",4.17,0,18.88,0.736,0.01,47.80625,0.01,"PROB","SAP","Southern Appalachians",-82.12585,38.8378,"Region_03",14.19536423,"Urban","MAN_MADE",10.19279,168,"H05130107","NLA_WV-10023",34.0441083726153,5.25451559934319e-05,7.13928749910759e-07,0,1.54344344749233e-06,0.000347210657785179,7.13928749910759e-07,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"46",2010222,"NLA17_KS-10006",1,"11-Jun-17",5.5,0.1394,19.71,1.051,0.123,118.22875,0.2624,"PROB","TPL","Temperate Plains",-95.73628,38.46564,"Region_07",81.17290906,"Non-Urban","MAN_MADE",12.19011,325,"H10290101","NLA_KS-10056",19.6575073335479,7.50339116156208e-05,8.78132362390233e-06,9.95216677375598e-06,3.81706135688762e-06,0.000457951706910908,1.87334903976583e-05,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"47",2010223,"NLA17_IL-10013",1,"12-Jun-17",4.46,0,20.16,0.771,0.008,50.1725,0.008,"PROB","TPL","Temperate Plains",-88.37851,40.20011,"Region_05",25.33430259,"Urban","MAN_MADE",11.48355,216,"H07130012","NLA_IL-10057",33.9811024571184,5.50439066181195e-05,5.71142999928607e-07,0,1.6198387526591e-06,0.000371357202331391,5.71142999928607e-07,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"48",2010224,"NLA17_ND-10023",1,"12-Jun-17",18.85,0,40.57,2.658,0.018,105.3675,0.018,"PROB","NPL","Northern Plains",-99.80461,47.26394,"Region_08",24.88253601,"Non-Urban","NATURAL",20.92953,562,"H10130103","NLA_ND-10144",55.7823914481408,0.00018976226172628,1.28507174983937e-06,0,3.40183087888399e-06,0.00156952539550375,1.28507174983937e-06,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"49",2010225,"NLA17_TX-10049",1,"12-Jun-17",4.7,0.0013,3.69,0.495,0.01,14.4525,0.0113,"HAND","SPL","Southern Plains",-97.61238,32.66237,"Region_06",0,"Non-Urban","MAN_MADE",43.19589,250,"H12030102","NLA_TX-10108",75.7375145872093,3.53394731205826e-05,7.13928749910759e-07,9.28107374883987e-08,4.66604605566906e-07,0.000391340549542048,8.06739487399158e-07,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
