"","VISIT_ID","NTL_PPM","PTL_PPB","NH4N_PPM","NO3N_PPM","DOC_PPM","CHLA_PPB","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","PCT_DEVELOPED_BSN","PCT_AGRIC_BSN","PCT_WATER_BSN","PCT_WETLAND_BSN","PCT_FOREST_BSN","ECO_REG","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","DIN_PPM","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"11",1000021,0.839,332,0.074,0.004,10.66,6.492957746,"NLA12_OR-101",1,"6/26/2012","PROB",-118.4442146,42.77430894,"Region_10",13.5454777,"No","NATURAL",89.8369153,1272.22,17120009,"NLA_OR-10024",0,4.946137,1.263573,2.787356,1.601953,"XER","Good","Poor","Poor","Mesotrophic",0.078,5.58820983577101,5.98986221175127e-05,5.28307274933962e-06,2.85571499964304e-07,1.0718749631428e-05,0.00088759367194005,5.56864424930392e-06,"Xeric","HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","MESOTROPHIC (2-7 ug/L)"
"12",1000022,2.894,114,0.026,0,19.86,30.24,"NLA12_TX-135",1,"6/26/2012","PROB",-98.06124241,26.62195986,"Region_6",134.4562334,"No","MAN_MADE",6.722705342,19.4,12110207,"NLA_TX-10115",4.536274,20.596942,0.021547,0.908558,0.440688,"CPL","Poor","Poor","Poor","Hypereutrophic",0.026,56.1361344529565,0.000206610980224174,1.85621474976797e-06,0,3.68053451199635e-06,0.00165362198168193,1.85621474976797e-06,"Coastal Plains","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"13",1000023,1.06,92,0.023,NA,6.3,46.9,"NLA12_WI-101",1,"6/26/2012","PROB",-89.25380131,42.96455549,"Region_5",19.6240585,"Yes","NATURAL",1293.360842,258.46,7090001,"NLA_WI-10025",26.67984,53.199258,9.188411,4.332406,5.62192,"TPL","Poor","Good","Poor","Hypereutrophic",NA,25.478089928545,7.56764474905404e-05,1.64203612479475e-06,NA,2.97025592196197e-06,0.000524562864279767,NA,"Temperate Plains","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"14",1000025,7.844,705,0.041,0.011,15.04,764.64,"NLA12_ID-151",1,"6/27/2012","PROB",-114.5997261,43.19840666,"Region_10",3.290387433,"No","MAN_MADE",44.60233911,1678.67,17040219,"NLA_ID-10100",0,0,1.377108,0.445731,0.299371,"XER","Poor","Poor","Poor","Hypereutrophic",0.052,24.6035228700049,0.000560005711429999,2.92710787463411e-06,7.85321624901835e-07,2.27612002715564e-05,0.00125228975853455,3.71242949953595e-06,"Xeric","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"15",1000026,0.61,26,0.0092,0.002,4.48,14.85714286,"NLA12_TX-110",1,"6/28/2012","PROB",-96.98672572,33.07855581,"Region_6",7.741669458,"Yes","MAN_MADE",8783.073606,156.97,12030103,"NLA_TX-10031",11.468569,28.628878,5.964714,0.504272,10.519261,"SPL","Good","Good","Good","Eutrophic",0.0112,51.880638853046,4.35496537445563e-05,6.56814449917898e-07,1.42785749982152e-07,8.39420151858817e-07,0.000373022481265612,7.9960019990005e-07,"Southern Plains","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"16",1000028,0.8,10,0.018,NA,6.2,1.27,"NLA12_WI-102",1,"6/27/2012","PROB",-88.4621617,43.09787438,"Region_5",19.6240585,"Yes","NATURAL",314.752087,262.37,7090001,"NLA_WI-10007",14.36228,42.000746,8.087568,17.344276,16.740261,"TPL","Good","Good","Good","Oligotrophic",NA,176.904473466124,5.71142999928607e-05,1.28507174983937e-06,NA,3.22853904561083e-07,0.000516236469608659,NA,"Temperate Plains","OLIGOTROPHIC (<= 10 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"17",1000029,0.23,41,0.0091,0.002,1.88,18.88,"NLA12_ID-109",1,"6/27/2012","PROB",-113.4072962,42.67704536,"Region_10",17.45596269,"No","MAN_MADE",3395.548059,1278.65,17040209,"NLA_ID-10008",2.04393,16.695468,1.556615,2.681876,29.438125,"XER","Good","Good","Good","Eutrophic",0.0111,12.404886858905,1.64203612479475e-05,6.49675162418791e-07,1.42785749982152e-07,1.32370100870044e-06,0.000156536219816819,7.92460912400942e-07,"Xeric","EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","EUTROPHIC (7-30 ug/L)"
"18",1000030,0.465,84,0.015,0.005,2.93,12.24,"NLA12_ID-111",1,"6/28/2012","PROB",-114.8788521,42.20637168,"Region_10",17.45596269,"No","MAN_MADE",393.0365949,1593,17040213,"NLA_ID-10039",0.656418,1.200632,1.01082,0.146481,1.205482,"XER","Good","Good","Fair","Eutrophic",0.02,12.2411577621648,3.31976868708503e-05,1.07089312486614e-06,3.56964374955379e-07,2.7119727983131e-06,0.000243963363863447,1.42785749982152e-06,"Xeric","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"19",1000032,0.315,20,0.016,0.003,7.29,5.28,"NLA12_VT-106",1,"7/2/2012","PROB",-71.79916952,44.77783926,"Region_1",16.5353981,"No","NATURAL",9.495781733,350.12,1080101,"NLA_VT-10014",0,0,6.498195,11.98556,81.516245,"NAP","Fair","Good","Fair","Mesotrophic",0.019,34.8280682136432,2.24887556221889e-05,1.14228599985721e-06,2.14178624973228e-07,6.45707809122167e-07,0.00060699417152373,1.35646462483044e-06,"Northern Appalachians","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"20",1000034,0.5,24,0.048,NA,4.7,5.15,"NLA12_WI-152",1,"7/2/2012","PROB",-88.61516896,42.59803618,"Region_5",19.34532864,"Yes","NATURAL",712.9395732,282.49,7090001,"NLA_WI-10087",15.977018,68.862424,7.801279,1.357636,5.866562,"TPL","Poor","Good","Good","Mesotrophic",NA,46.0688732984698,3.56964374955379e-05,3.42685799957164e-06,NA,7.748493709466e-07,0.000391340549542048,NA,"Temperate Plains","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"21",1000039,1.67,12,0.034,NA,3.9,2.48,"NLA12_WI-113",1,"7/5/2012","PROB",-89.30356704,43.81355964,"Region_5",61.51024902,"No","NATURAL",7.476834304,240.76,4030201,"NLA_WI-10048",5.666897,63.441604,9.053214,9.882516,11.748446,"UMW","Good","Poor","Good","Mesotrophic",NA,307.740073633778,0.000119226101235097,2.42735774969658e-06,NA,3.874246854733e-07,0.000324729392173189,NA,"Upper Midwest","MESOTROPHIC (10-25 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","MESOTROPHIC (2-7 ug/L)"
"22",1000043,0.398,10,0.015,0.002,5.07,3.423,"NLA12_MI-151",1,"7/9/2012","PROB",-84.53228457,42.69438266,"Region_5",137.3026588,"Yes","MAN_MADE",8.421188949,251.36,4050004,"NLA_MI-10118",49.577465,0,43.098592,4.507042,2.816901,"UMW","Good","Good","Good","Mesotrophic",0.017,88.0099755493967,2.84143642464482e-05,1.07089312486614e-06,1.42785749982152e-07,3.22853904561083e-07,0.000422148209825146,1.21367887484829e-06,"Upper Midwest","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"23",1000044,0.72,18,0.048,NA,8.3,4.53,"NLA12_WI-117",1,"7/10/2012","PROB",-89.21610906,44.0425333,"Region_5",61.51024902,"No","NATURAL",6.228535462,260.89,4030201,"NLA_WI-10052",26.086957,20.645337,14.35603,8.012032,30.899645,"UMW","Good","Good","Good","Mesotrophic",NA,88.452236733062,5.14028699935746e-05,3.42685799957164e-06,NA,5.8113702820995e-07,0.000691090757701915,NA,"Upper Midwest","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"24",1000046,1.559,31,0.034,0.002,18.43,8.32,"NLA12_MI-139",1,"7/10/2012","PROB",-84.90798786,42.38808843,"Region_5",325.1169051,"No","NATURAL",2.696718707,282.31,4050003,"NLA_MI-10106",6.779661,59.887006,4.519774,5.649718,23.163842,"UMW","Fair","Poor","Fair","Eutrophic",0.036,111.207287957132,0.000111301492111087,2.42735774969658e-06,1.42785749982152e-07,1.00084710413936e-06,0.0015345545378851,2.57014349967873e-06,"Upper Midwest","EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"25",1000047,0.616,38,0.049,0.002,5.95,3,"NLA12_MI-124",1,"7/10/2012","PROB",-86.14530228,43.37342619,"Region_5",68.23819077,"Yes","NATURAL",20.7984169,198.02,4060102,"NLA_MI-10091",12.719892,0,35.723951,4.871448,36.53586,"UMW","Good","Good","Fair","Mesotrophic",0.051,35.8464327812936,4.39780109945028e-05,3.49825087456272e-06,1.42785749982152e-07,1.22684483733212e-06,0.000495420482930891,3.64103662454487e-06,"Upper Midwest","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"26",1000048,3.925,590,1.03,0.005,14.94,144.8,"NLA12_TX-117",2,"7/10/2012","PROB",-95.73801377,33.06712109,"Region_6",24.85716519,"No","MAN_MADE",14.71439965,148.99,12010003,"NLA_TX-10097",5.194937,79.189874,2.055696,4.8,7.888607,"CPL","Poor","Poor","Poor","Hypereutrophic",1.035,14.7108063210707,0.000280217034339973,7.35346612408082e-05,3.56964374955379e-07,1.90483803691039e-05,0.00124396336386345,7.38916256157635e-05,"Coastal Plains","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"27",1000049,0.016,62,0.0075,0.002,0.3,0.997894737,"NLA12_OR-106",1,"7/10/2012","PROB",-122.0454265,44.31314071,"Region_10",14.60346988,"No","MAN_MADE",63.69158062,795.16,17090004,"NLA_OR-10031",0.015192,0,1.29515,0,77.200046,"WMT","Good","Good","Poor","Oligotrophic",0.0095,0.570659591826207,1.14228599985721e-06,5.35446562433069e-07,1.42785749982152e-07,2.00169420827872e-06,2.49791840133222e-05,6.78232312415221e-07,"Western Mountains","EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"28",1000050,0.74,21,0.059,NA,6.9,6.22,"NLA12_WI-136",1,"7/11/2012","PROB",-88.45502863,43.05664122,"Region_5",14.23263464,"Yes","NATURAL",21.88736741,263.67,7090001,"NLA_WI-10071",32.040537,32.466754,6.232878,10.851373,16.28486,"TPL","Poor","Good","Good","Mesotrophic",NA,77.9222085505547,5.28307274933962e-05,4.21217962447348e-06,NA,6.77993199578275e-07,0.000574521232306411,NA,"Temperate Plains","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"29",1000052,0.569,44,0.0068,0,4.69,19.34883721,"NLA12_MI-109",1,"7/11/2012","PROB",-85.19033981,42.62319809,"Region_5",12.79786549,"No","NATURAL",177.5017494,241.34,4050007,"NLA_MI-10037",6.95561,62.689026,1.2409,10.868266,17.435326,"UMW","Good","Good","Poor","Eutrophic",0.0068,28.5962060801774,4.06225458699222e-05,4.85471549939316e-07,0,1.42055718006877e-06,0.000390507910074938,4.85471549939316e-07,"Upper Midwest","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"30",1000053,0.805,35,0.011,0.002,10.02,11.2,"NLA12_TX-109",1,"7/11/2012","PROB",-95.89431333,32.08995916,"Region_6",745.4687385,"No","MAN_MADE",5.361167783,116.46,12030201,"NLA_TX-10018",2.850163,19.381107,5.04886,12.703583,34.690554,"CPL","Good","Poor","Good","Eutrophic",0.013,50.8600361215107,5.74712643678161e-05,7.85321624901835e-07,1.42785749982152e-07,1.12998866596379e-06,0.000834304746044962,9.28107374883987e-07,"Coastal Plains","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"31",1000054,0.429,19,0.0078,0.002,5.7,7.76,"NLA12_VT-109",1,"7/12/2012","PROB",-72.83550844,42.7469444,"Region_1",19.45340953,"No","NATURAL",10.89805771,516.79,1080203,"NLA_VT-10017",2.745996,7.837529,5.20595,6.064073,78.146453,"NAP","Fair","Fair","Fair","Eutrophic",0.0098,49.9289599453732,3.06275433711716e-05,5.56864424930392e-07,1.42785749982152e-07,6.13422418666058e-07,0.000474604496253122,6.99650174912544e-07,"Northern Appalachians","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"32",1000055,0.721,17,0.0094,0.002,12.83,6.224,"NLA12_MI-136",1,"7/12/2012","PROB",-85.37979014,43.36480531,"Region_5",70.40204082,"No","NATURAL",19.92870769,278.58,4060102,"NLA_MI-10103",10.731273,53.210464,20.630202,10.671819,3.775268,"UMW","Good","Good","Good","Mesotrophic",0.0114,93.7853863007908,5.14742628685657e-05,6.71093024916113e-07,1.42785749982152e-07,5.48851637753842e-07,0.00106827643630308,8.13878774898265e-07,"Upper Midwest","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"33",1000056,0.546,44,0.013,0.043,6.17,12,"NLA12_MI-105",1,"7/11/2012","PROB",-86.31568591,43.2314452,"Region_5",12.79786549,"Yes","NATURAL",1899.63343,176.65,4060102,"NLA_MI-10032",8.579981,19.566144,4.118686,18.069096,39.910709,"UMW","Good","Good","Poor","Eutrophic",0.056,27.4402961683249,3.89805097451274e-05,9.28107374883987e-07,3.06989362461626e-06,1.42055718006877e-06,0.000513738551207327,3.99800099950025e-06,"Upper Midwest","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"34",1000058,0.72,26,0.031,0.002,7.48,12.64,"NLA12_MI-167",1,"7/12/2012","PROB",-84.20373932,42.9176234,"Region_5",137.3026588,"No","MAN_MADE",8.142607701,238.92,4050005,"NLA_MI-10134",6.115418,56.115418,6.739879,10.228251,18.906116,"UMW","Good","Good","Good","Eutrophic",0.033,61.2361638921199,5.14028699935746e-05,2.21317912472335e-06,1.42785749982152e-07,8.39420151858817e-07,0.000622814321398834,2.3559648747055e-06,"Upper Midwest","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"35",1000059,0.52,17,0.048,NA,5.4,3.2,"NLA12_WI-168",1,"7/13/2012","PROB",-88.26962301,42.50962706,"Region_5",19.34532864,"Yes","NATURAL",293.706702,241.63,7120006,"NLA_WI-10103",19.062212,44.071881,13.132605,5.388117,15.286662,"TPL","Poor","Good","Good","Mesotrophic",NA,67.6399457370474,3.71242949953595e-05,3.42685799957164e-06,NA,5.48851637753842e-07,0.0004496253122398,NA,"Temperate Plains","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"36",1000060,0.596,25,0.0064,0,6.05,12.08,"NLA12_TX-124",1,"7/13/2012","PROB",-98.98190835,32.79752902,"Region_6",24.85716519,"No","MAN_MADE",6050.902632,360.68,12060105,"NLA_TX-10104",5.72969,3.52725,1.63557,0.100698,9.131524,"SPL","Good","Good","Good","Eutrophic",0.0064,52.717533092905,4.25501534946812e-05,4.56914399942886e-07,0,8.07134761402708e-07,0.000503746877601998,4.56914399942886e-07,"Southern Plains","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"37",1000062,0.595,64,0.014,0,5.74,5.64,"NLA12_TX-148",1,"7/15/2012","PROB",-98.15099199,33.27090609,"Region_6",24.85716519,"Yes","MAN_MADE",20.20554838,291.01,12030101,"NLA_TX-10127",3.19063,0.242326,9.652666,0,0,"SPL","Good","Good","Poor","Mesotrophic",0.014,20.5582347094422,4.24787606196902e-05,9.99500249875062e-07,0,2.06626498919093e-06,0.000477935054121565,9.99500249875062e-07,"Southern Plains","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"38",1000063,3.84,132,0.053,NA,4.2,85.3,"NLA12_WI-172",1,"7/14/2012","PROB",-89.29875291,43.49766607,"Region_5",14.23263464,"Yes","MAN_MADE",35.44372211,242.92,7070005,"NLA_WI-10107",4.948541,64.692975,0.668174,13.345067,15.562403,"TPL","Poor","Poor","Poor","Hypereutrophic",NA,64.3288994422269,0.000274148639965731,3.78382237452702e-06,NA,4.2616715402063e-06,0.000349708576186511,NA,"Temperate Plains","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"39",1000066,0.558,14,0.015,0,5.13,4.48,"NLA12_MI-108",1,"7/16/2012","PROB",-86.21361091,42.08123991,"Region_5",102.986062,"Yes","NATURAL",81.73778302,232.46,4050001,"NLA_MI-10034",15.920075,27.881041,22.964684,11.412639,19.284387,"UMW","Good","Good","Good","Mesotrophic",0.015,88.1363358875868,3.98372242450204e-05,1.07089312486614e-06,0,4.51995466385517e-07,0.00042714404662781,1.07089312486614e-06,"Upper Midwest","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"40",1000067,1.048,85,0.024,0.003,7.09,26.72,"NLA12_ID-149",1,"7/15/2012","PROB",-116.649551,46.68823022,"Region_10",12.10496977,"No","NATURAL",6.488524087,677.78,17060306,"NLA_ID-10098",0,14.344262,25.409836,0.409836,59.836066,"WMT","Fair","Poor","Poor","Eutrophic",0.027,27.2641012047791,7.48197329906475e-05,1.71342899978582e-06,2.14178624973228e-07,2.74425818876921e-06,0.000590341382181515,1.92760762475905e-06,"Western Mountains","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"41",1000068,0.303,77,0.015,0.002,3.42,5.546666667,"NLA12_ID-148",1,"7/16/2012","PROB",-116.8343671,46.20607125,"Region_10",3.290387433,"No","MAN_MADE",38.08818946,1034.14,17060103,"NLA_ID-10097",9.070549,1.455767,13.99776,0,57.409481,"XER","Good","Good","Fair","Mesotrophic",0.017,8.70163237990838,2.1632041122296e-05,1.07089312486614e-06,1.42785749982152e-07,2.48597506512034e-06,0.000284762697751873,1.21367887484829e-06,"Xeric","EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"42",1000069,0.196,35,0.02,0,2.54,3.562666667,"NLA12_ID-103",1,"7/14/2012","PROB",-116.6151536,47.46589015,"Region_10",18.81939011,"No","NATURAL",399.5960538,648.7,17010303,"NLA_ID-10016",0.724714,0.542101,4.252675,1.523047,69.202529,"WMT","Poor","Good","Fair","Mesotrophic",0.02,12.3833131426287,1.39930034982509e-05,1.42785749982152e-06,0,1.12998866596379e-06,0.000211490424646128,1.42785749982152e-06,"Western Mountains","EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
"43",1000070,0.619,18,0.025,0,7.46,5.176,"NLA12_MI-104",1,"7/17/2012","PROB",-86.04479965,42.37792782,"Region_5",113.4000018,"No","NATURAL",109.0730023,203.67,4050002,"NLA_MI-10066",10.291798,12.197687,16.876972,19.794953,37.342272,"UMW","Good","Good","Good","Mesotrophic",0.025,76.0443535246742,4.4192189619476e-05,1.7848218747769e-06,0,5.8113702820995e-07,0.000621149042464613,1.7848218747769e-06,"Upper Midwest","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
