"","siteID","domainID","namedLocation","DateTime","analyte","analyteConcentration","analyteUnits","sampleCondition"
"32","HOPB","D01","HOPB.AOS.S2",2017-03-20 13:00:00,"NO3+NO2 - N",0.069,"milligramsPerLiter","GOOD"
"33","HOPB","D01","HOPB.AOS.S2",2017-03-20 13:00:00,"DOC",1.592,"milligramsPerLiter","GOOD"
"34","HOPB","D01","HOPB.AOS.S2",2017-03-29 15:35:00,"NO3+NO2 - N",0.056,"milligramsPerLiter","GOOD"
"35","HOPB","D01","HOPB.AOS.S2",2017-03-29 15:35:00,"TP",0.009,"milligramsPerLiter","GOOD"
"36","HOPB","D01","HOPB.AOS.S2",2017-03-29 15:35:00,"DOC",3.485,"milligramsPerLiter","GOOD"
"37","HOPB","D01","HOPB.AOS.S2",2017-04-05 14:05:00,"DOC",3.469,"milligramsPerLiter","GOOD"
"38","HOPB","D01","HOPB.AOS.S2",2017-04-05 14:05:00,"TP",0.001,"milligramsPerLiter","GOOD"
"39","HOPB","D01","HOPB.AOS.S2",2017-04-05 14:05:00,"NO3+NO2 - N",0.036,"milligramsPerLiter","GOOD"
"40","HOPB","D01","HOPB.AOS.S2",2017-04-11 13:30:00,"NO3+NO2 - N",0.038,"milligramsPerLiter","GOOD"
"41","HOPB","D01","HOPB.AOS.S2",2017-04-11 13:30:00,"DOC",2.577,"milligramsPerLiter","GOOD"
"42","HOPB","D01","HOPB.AOS.S2",2017-04-11 13:30:00,"TP",0.006,"milligramsPerLiter","GOOD"
"43","HOPB","D01","HOPB.AOS.S2",2017-04-17 13:30:00,"NO3+NO2 - N",0.034,"milligramsPerLiter","GOOD"
"44","HOPB","D01","HOPB.AOS.S2",2017-04-17 13:30:00,"DOC",2.911,"milligramsPerLiter","GOOD"
"45","HOPB","D01","HOPB.AOS.S2",2017-04-17 13:30:00,"TP",0.009,"milligramsPerLiter","GOOD"
"46","HOPB","D01","HOPB.AOS.S2",2017-04-26 14:15:00,"NO3+NO2 - N",0.016,"milligramsPerLiter","GOOD"
"47","HOPB","D01","HOPB.AOS.S2",2017-04-26 14:15:00,"TP",0.004,"milligramsPerLiter","GOOD"
"48","HOPB","D01","HOPB.AOS.S2",2017-04-26 14:15:00,"DOC",3.736,"milligramsPerLiter","GOOD"
"49","HOPB","D01","HOPB.AOS.S2",2017-05-09 09:46:00,"NO3+NO2 - N",0.01,"milligramsPerLiter","GOOD"
"50","HOPB","D01","HOPB.AOS.S2",2017-05-09 09:46:00,"TP",0.016,"milligramsPerLiter","GOOD"
"51","HOPB","D01","HOPB.AOS.S2",2017-05-09 09:46:00,"DOC",2.654,"milligramsPerLiter","GOOD"
"52","HOPB","D01","HOPB.AOS.S2",2017-05-15 09:55:00,"DOC",3.333,"milligramsPerLiter","GOOD"
"53","HOPB","D01","HOPB.AOS.S2",2017-05-15 09:55:00,"TP",0.017,"milligramsPerLiter","GOOD"
"54","HOPB","D01","HOPB.AOS.S2",2017-05-15 09:55:00,"NO3+NO2 - N",0.003,"milligramsPerLiter","GOOD"
"55","HOPB","D01","HOPB.AOS.S2",2017-05-31 09:30:00,"NO3+NO2 - N",0.028,"milligramsPerLiter","GOOD"
"56","HOPB","D01","HOPB.AOS.S2",2017-05-31 09:30:00,"TP",0.011,"milligramsPerLiter","GOOD"
"57","HOPB","D01","HOPB.AOS.S2",2017-05-31 09:30:00,"DOC",2.583,"milligramsPerLiter","GOOD"
"58","HOPB","D01","HOPB.AOS.S2",2017-06-20 12:56:00,"TP",0.004,"milligramsPerLiter","GOOD"
"59","HOPB","D01","HOPB.AOS.S2",2017-06-20 12:56:00,"DOC",3.664,"milligramsPerLiter","GOOD"
"60","HOPB","D01","HOPB.AOS.S2",2017-06-20 12:56:00,"NO3+NO2 - N",0.016,"milligramsPerLiter","GOOD"
"61","HOPB","D01","HOPB.AOS.S2",2017-07-10 16:09:00,"NO3+NO2 - N",0.056,"milligramsPerLiter","GOOD"
"62","HOPB","D01","HOPB.AOS.S2",2017-07-10 16:09:00,"TP",0.007,"milligramsPerLiter","GOOD"
"63","HOPB","D01","HOPB.AOS.S2",2017-07-10 16:09:00,"DOC",3.575,"milligramsPerLiter","GOOD"
"64","HOPB","D01","HOPB.AOS.S2",2017-07-25 12:30:00,"TP",0.0553,"milligramsPerLiter","GOOD"
"65","HOPB","D01","HOPB.AOS.S2",2017-07-25 12:30:00,"DOC",3.683,"milligramsPerLiter","GOOD"
"66","HOPB","D01","HOPB.AOS.S2",2017-07-25 12:30:00,"NO3+NO2 - N",0.035,"milligramsPerLiter","GOOD"
"67","HOPB","D01","HOPB.AOS.S2",2017-08-08 12:57:00,"TP",0.017,"milligramsPerLiter","GOOD"
"68","HOPB","D01","HOPB.AOS.S2",2017-08-08 12:57:00,"DOC",4.038,"milligramsPerLiter","GOOD"
"69","HOPB","D01","HOPB.AOS.S2",2017-08-08 12:57:00,"NO3+NO2 - N",0.0831,"milligramsPerLiter","GOOD"
"70","HOPB","D01","HOPB.AOS.S2",2017-09-06 13:00:00,"DOC",3.431,"milligramsPerLiter","GOOD"
"71","HOPB","D01","HOPB.AOS.S2",2017-09-06 13:00:00,"TP",0.005,"milligramsPerLiter","GOOD"
"72","HOPB","D01","HOPB.AOS.S2",2017-09-06 13:00:00,"NO3+NO2 - N",0.0572,"milligramsPerLiter","GOOD"
"73","HOPB","D01","HOPB.AOS.S2",2017-09-12 13:08:00,"NO3+NO2 - N",0.0571,"milligramsPerLiter","GOOD"
"74","HOPB","D01","HOPB.AOS.S2",2017-09-12 13:08:00,"TP",0.009,"milligramsPerLiter","GOOD"
"75","HOPB","D01","HOPB.AOS.S2",2017-09-12 13:08:00,"DOC",2.75,"milligramsPerLiter","GOOD"
"76","HOPB","D01","HOPB.AOS.S2",2017-10-17 12:39:00,"NO3+NO2 - N",0.0374,"milligramsPerLiter","GOOD"
"77","HOPB","D01","HOPB.AOS.S2",2017-10-17 12:39:00,"DOC",3.148,"milligramsPerLiter","GOOD"
"78","HOPB","D01","HOPB.AOS.S2",2017-10-17 12:39:00,"TP",0.029,"milligramsPerLiter","GOOD"
"79","HOPB","D01","HOPB.AOS.S2",2017-11-07 14:18:00,"TP",0.004,"milligramsPerLiter","GOOD"
"80","HOPB","D01","HOPB.AOS.S2",2017-11-07 14:18:00,"DOC",4.027,"milligramsPerLiter","GOOD"
"81","HOPB","D01","HOPB.AOS.S2",2017-11-07 14:18:00,"NO3+NO2 - N",0.0096,"milligramsPerLiter","GOOD"
"82","HOPB","D01","HOPB.AOS.S2",2017-11-13 14:28:00,"TP",0.009,"milligramsPerLiter","GOOD"
"83","HOPB","D01","HOPB.AOS.S2",2017-11-13 14:28:00,"DOC",2.628,"milligramsPerLiter","GOOD"
"84","HOPB","D01","HOPB.AOS.S2",2017-11-13 14:28:00,"NO3+NO2 - N",0.1171,"milligramsPerLiter","GOOD"
"85","HOPB","D01","HOPB.AOS.S2",2017-12-06 15:50:00,"TP",0.021,"milligramsPerLiter","GOOD"
"86","HOPB","D01","HOPB.AOS.S2",2017-12-06 15:50:00,"DOC",3.871,"milligramsPerLiter","GOOD"
"87","HOPB","D01","HOPB.AOS.S2",2017-12-06 15:50:00,"NO3+NO2 - N",0.0444,"milligramsPerLiter","GOOD"
"88","HOPB","D01","HOPB.AOS.S2",2017-12-12 14:25:00,"DOC",2.103,"milligramsPerLiter","GOOD"
"89","HOPB","D01","HOPB.AOS.S2",2017-12-12 14:25:00,"NO3+NO2 - N",0.0644,"milligramsPerLiter","GOOD"
"90","HOPB","D01","HOPB.AOS.S2",2017-12-12 14:25:00,"TP",0.022,"milligramsPerLiter","GOOD"
"91","HOPB","D01","HOPB.AOS.S2",2018-01-25 14:42:00,"NO3+NO2 - N",0.082,"milligramsPerLiter","GOOD"
"92","HOPB","D01","HOPB.AOS.S2",2018-01-25 14:42:00,"DOC",2.084,"milligramsPerLiter","GOOD"
"93","HOPB","D01","HOPB.AOS.S2",2018-01-25 14:42:00,"TP",0.008,"milligramsPerLiter","GOOD"
"94","HOPB","D01","HOPB.AOS.S2",2018-02-14 15:10:00,"TP",0.001,"milligramsPerLiter","GOOD"
"95","HOPB","D01","HOPB.AOS.S2",2018-02-14 15:10:00,"DOC",1.84,"milligramsPerLiter","GOOD"
"96","HOPB","D01","HOPB.AOS.S2",2018-02-14 15:10:00,"NO3+NO2 - N",0.0771,"milligramsPerLiter","GOOD"
"97","HOPB","D01","HOPB.AOS.S2",2018-02-20 15:12:00,"NO3+NO2 - N",0.075,"milligramsPerLiter","GOOD"
"98","HOPB","D01","HOPB.AOS.S2",2018-02-20 15:12:00,"TP",0.001,"milligramsPerLiter","GOOD"
"99","HOPB","D01","HOPB.AOS.S2",2018-02-20 15:12:00,"DOC",2.213,"milligramsPerLiter","GOOD"
"100","HOPB","D01","HOPB.AOS.S2",2018-02-28 14:33:00,"NO3+NO2 - N",0.0592,"milligramsPerLiter","GOOD"
"101","HOPB","D01","HOPB.AOS.S2",2018-02-28 14:33:00,"DOC",1.864,"milligramsPerLiter","GOOD"
"102","HOPB","D01","HOPB.AOS.S2",2018-02-28 14:33:00,"TP",0.002,"milligramsPerLiter","GOOD"
"103","HOPB","D01","HOPB.AOS.S2",2018-03-06 14:34:00,"NO3+NO2 - N",0.05,"milligramsPerLiter","GOOD"
"104","HOPB","D01","HOPB.AOS.S2",2018-03-06 14:34:00,"TP",0.001,"milligramsPerLiter","GOOD"
"105","HOPB","D01","HOPB.AOS.S2",2018-03-06 14:34:00,"DOC",1.801,"milligramsPerLiter","GOOD"
"106","HOPB","D01","HOPB.AOS.S2",2018-03-12 14:52:00,"TP",0.01,"milligramsPerLiter","GOOD"
"107","HOPB","D01","HOPB.AOS.S2",2018-03-12 14:52:00,"NO3+NO2 - N",0.0467,"milligramsPerLiter","GOOD"
"108","HOPB","D01","HOPB.AOS.S2",2018-03-12 14:52:00,"DOC",1.843,"milligramsPerLiter","GOOD"
"109","HOPB","D01","HOPB.AOS.S2",2018-03-19 14:21:00,"TP",0.005,"milligramsPerLiter","GOOD"
"110","HOPB","D01","HOPB.AOS.S2",2018-03-19 14:21:00,"DOC",1.789,"milligramsPerLiter","GOOD"
"111","HOPB","D01","HOPB.AOS.S2",2018-03-19 14:21:00,"NO3+NO2 - N",0.0498,"milligramsPerLiter","GOOD"
"112","HOPB","D01","HOPB.AOS.S2",2018-03-29 14:10:00,"TP",0.035,"milligramsPerLiter","GOOD"
"113","HOPB","D01","HOPB.AOS.S2",2018-03-29 14:10:00,"NO3+NO2 - N",0.0487,"milligramsPerLiter","GOOD"
"114","HOPB","D01","HOPB.AOS.S2",2018-03-29 14:10:00,"DOC",6.26,"milligramsPerLiter","GOOD"
"115","HOPB","D01","HOPB.AOS.S2",2018-04-05 14:32:00,"DOC",2.699,"milligramsPerLiter","GOOD"
"116","HOPB","D01","HOPB.AOS.S2",2018-04-05 14:32:00,"NO3+NO2 - N",0.055,"milligramsPerLiter","GOOD"
"117","HOPB","D01","HOPB.AOS.S2",2018-04-05 14:32:00,"TP",0.0401,"milligramsPerLiter","GOOD"
"118","HOPB","D01","HOPB.AOS.S2",2018-04-10 13:30:00,"TP",0.1185,"milligramsPerLiter","GOOD"
"119","HOPB","D01","HOPB.AOS.S2",2018-04-16 13:47:00,"NO3+NO2 - N",0.0529,"milligramsPerLiter","GOOD"
"120","HOPB","D01","HOPB.AOS.S2",2018-04-16 13:47:00,"TP",0.0773,"milligramsPerLiter","GOOD"
"121","HOPB","D01","HOPB.AOS.S2",2018-04-16 13:47:00,"DOC",1.945,"milligramsPerLiter","GOOD"
"122","HOPB","D01","HOPB.AOS.S2",2018-04-25 14:35:00,"TP",0.023,"milligramsPerLiter","GOOD"
"123","HOPB","D01","HOPB.AOS.S2",2018-05-14 14:00:00,"DOC",2.408,"milligramsPerLiter","GOOD"
"124","HOPB","D01","HOPB.AOS.S2",2018-05-14 14:00:00,"TP",0.0916,"milligramsPerLiter","GOOD"
"125","HOPB","D01","HOPB.AOS.S2",2018-05-14 14:00:00,"NO3+NO2 - N",0.022,"milligramsPerLiter","GOOD"
"126","HOPB","D01","HOPB.AOS.S2",2018-05-22 14:33:00,"TP",0.0827,"milligramsPerLiter","GOOD"
"127","HOPB","D01","HOPB.AOS.S2",2018-06-04 14:50:00,"NO3+NO2 - N",0.0708,"milligramsPerLiter","GOOD"
"128","HOPB","D01","HOPB.AOS.S2",2018-06-04 14:50:00,"DOC",3.954,"milligramsPerLiter","GOOD"
"129","HOPB","D01","HOPB.AOS.S2",2018-06-04 14:50:00,"TP",0.0756,"milligramsPerLiter","GOOD"
"130","HOPB","D01","HOPB.AOS.S2",2018-06-19 13:44:00,"TP",0.027,"milligramsPerLiter","GOOD"
"131","HOPB","D01","HOPB.AOS.S2",2018-06-19 13:44:00,"DOC",4.987,"milligramsPerLiter","GOOD"
"132","HOPB","D01","HOPB.AOS.S2",2018-07-11 14:20:00,"TP",0.055,"milligramsPerLiter","GOOD"
"133","HOPB","D01","HOPB.AOS.S2",2018-07-11 14:20:00,"DOC",2.768,"milligramsPerLiter","GOOD"
"134","HOPB","D01","HOPB.AOS.S2",2018-07-11 14:20:00,"NO3+NO2 - N",0.0863,"milligramsPerLiter","GOOD"
"135","HOPB","D01","HOPB.AOS.S2",2018-07-17 15:16:00,"NO3+NO2 - N",0.0743,"milligramsPerLiter","GOOD"
"136","HOPB","D01","HOPB.AOS.S2",2018-07-17 15:16:00,"DOC",2.515,"milligramsPerLiter","GOOD"
"137","HOPB","D01","HOPB.AOS.S2",2018-07-17 15:16:00,"TP",0.019,"milligramsPerLiter","GOOD"
"138","HOPB","D01","HOPB.AOS.S2",2018-08-14 12:57:00,"NO3+NO2 - N",0.0157,"milligramsPerLiter","GOOD"
"139","HOPB","D01","HOPB.AOS.S2",2018-08-14 12:57:00,"DOC",6.228,"milligramsPerLiter","GOOD"
"140","HOPB","D01","HOPB.AOS.S2",2018-08-14 12:57:00,"TP",0.008,"milligramsPerLiter","GOOD"
"141","HOPB","D01","HOPB.AOS.S2",2018-09-06 13:08:00,"TP",0.003,"milligramsPerLiter","GOOD"
"142","HOPB","D01","HOPB.AOS.S2",2018-09-06 13:08:00,"DOC",2.902,"milligramsPerLiter","GOOD"
"143","HOPB","D01","HOPB.AOS.S2",2018-09-06 13:08:00,"NO3+NO2 - N",0.0538,"milligramsPerLiter","GOOD"
"144","HOPB","D01","HOPB.AOS.S2",2018-09-25 13:00:00,"DOC",0.8884,"milligramsPerLiter","GOOD"
"145","HOPB","D01","HOPB.AOS.S2",2018-09-25 13:00:00,"TP",0.1388,"milligramsPerLiter","GOOD"
"146","HOPB","D01","HOPB.AOS.S2",2018-09-25 13:00:00,"NO3+NO2 - N",0.0381,"milligramsPerLiter","GOOD"
"147","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"DOC",3.239,"milligramsPerLiter","GOOD"
"148","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"NO3+NO2 - N",0.0373,"milligramsPerLiter","GOOD"
"149","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"DOC",3.441,"milligramsPerLiter","GOOD"
"150","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"TP",0.1821,"milligramsPerLiter","GOOD"
"151","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"NO3+NO2 - N",0.0309,"milligramsPerLiter","GOOD"
"152","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"NO3+NO2 - N",0.041,"milligramsPerLiter","GOOD"
"153","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"TP",0.1733,"milligramsPerLiter","GOOD"
"154","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"TP",0.2856,"milligramsPerLiter","GOOD"
"155","HOPB","D01","HOPB.AOS.S2",2018-10-09 15:06:00,"DOC",3.061,"milligramsPerLiter","GOOD"
"156","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"DOC",3.576,"milligramsPerLiter","GOOD"
"157","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"DOC",3.674,"milligramsPerLiter","GOOD"
"158","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"TP",0.006,"milligramsPerLiter","GOOD"
"159","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"DOC",3.818,"milligramsPerLiter","GOOD"
"160","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"TP",0.0301,"milligramsPerLiter","GOOD"
"161","HOPB","D01","HOPB.AOS.S2",2018-11-06 14:26:00,"TP",0.054,"milligramsPerLiter","GOOD"
"162","HOPB","D01","HOPB.AOS.S2",2018-11-13 15:44:00,"TP",0.006,"milligramsPerLiter","GOOD"
"163","HOPB","D01","HOPB.AOS.S2",2018-11-13 15:44:00,"DOC",3.767,"milligramsPerLiter","GOOD"
"164","HOPB","D01","HOPB.AOS.S2",2018-12-04 14:57:00,"TP",0.02,"milligramsPerLiter","GOOD"
"165","HOPB","D01","HOPB.AOS.S2",2018-12-04 14:57:00,"DOC",2.386,"milligramsPerLiter","GOOD"
"166","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"DOC",1.701,"milligramsPerLiter","GOOD"
"167","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"TP",0.0142,"milligramsPerLiter","GOOD"
"168","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"TP",0.0149,"milligramsPerLiter","GOOD"
"169","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"DOC",1.564,"milligramsPerLiter","GOOD"
"170","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"DOC",1.629,"milligramsPerLiter","GOOD"
"171","HOPB","D01","HOPB.AOS.S2",2018-12-10 14:51:00,"TP",0.0145,"milligramsPerLiter","GOOD"
"172","HOPB","D01","HOPB.AOS.S2",2019-01-24 14:58:00,"DOC",2.008,"milligramsPerLiter","GOOD"
"173","HOPB","D01","HOPB.AOS.S2",2019-01-24 14:58:00,"TP",0.012,"milligramsPerLiter","GOOD"
"174","HOPB","D01","HOPB.AOS.S2",2019-01-24 14:58:00,"NO3+NO2 - N",0.0642,"milligramsPerLiter","GOOD"
"175","HOPB","D01","HOPB.AOS.S2",2019-01-29 15:35:00,"DOC",1.574,"milligramsPerLiter","GOOD"
"176","HOPB","D01","HOPB.AOS.S2",2019-01-29 15:35:00,"TP",0.014,"milligramsPerLiter","GOOD"
"177","HOPB","D01","HOPB.AOS.S2",2019-01-29 15:35:00,"NO3+NO2 - N",0.0158,"milligramsPerLiter","Other"
"178","HOPB","D01","HOPB.AOS.S2",2019-02-14 14:15:00,"NO3+NO2 - N",0.0143,"milligramsPerLiter","Other"
"179","HOPB","D01","HOPB.AOS.S2",2019-02-14 14:15:00,"TP",0.281,"milligramsPerLiter","GOOD"
"180","HOPB","D01","HOPB.AOS.S2",2019-02-14 14:15:00,"DOC",1.455,"milligramsPerLiter","GOOD"
"181","HOPB","D01","HOPB.AOS.S2",2019-02-26 14:36:00,"DOC",1.697,"milligramsPerLiter","GOOD"
"182","HOPB","D01","HOPB.AOS.S2",2019-02-26 14:36:00,"NO3+NO2 - N",0.0215,"milligramsPerLiter","Other"
"183","HOPB","D01","HOPB.AOS.S2",2019-02-26 14:36:00,"TP",0.41,"milligramsPerLiter","GOOD"
"184","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"TP",0.131,"milligramsPerLiter","GOOD"
"185","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"DOC",1.162,"milligramsPerLiter","GOOD"
"186","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"DOC",1.12,"milligramsPerLiter","GOOD"
"187","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"NO3+NO2 - N",0.0252,"milligramsPerLiter","GOOD"
"188","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"NO3+NO2 - N",0.0409,"milligramsPerLiter","GOOD"
"189","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"NO3+NO2 - N",0.0301,"milligramsPerLiter","GOOD"
"190","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"DOC",1.177,"milligramsPerLiter","GOOD"
"191","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"TP",0.135,"milligramsPerLiter","GOOD"
"192","HOPB","D01","HOPB.AOS.S2",2019-03-06 14:52:00,"TP",0.138,"milligramsPerLiter","GOOD"
"193","HOPB","D01","HOPB.AOS.S2",2019-03-12 14:12:00,"NO3+NO2 - N",0.0363,"milligramsPerLiter","GOOD"
"194","HOPB","D01","HOPB.AOS.S2",2019-03-12 14:12:00,"TP",0.158,"milligramsPerLiter","GOOD"
"195","HOPB","D01","HOPB.AOS.S2",2019-03-12 14:12:00,"DOC",1.398,"milligramsPerLiter","GOOD"
"196","HOPB","D01","HOPB.AOS.S2",2019-03-21 14:35:00,"TP",0.016,"milligramsPerLiter","GOOD"
"197","HOPB","D01","HOPB.AOS.S2",2019-03-21 14:35:00,"DOC",1.515,"milligramsPerLiter","GOOD"
"198","HOPB","D01","HOPB.AOS.S2",2019-03-21 14:35:00,"NO3+NO2 - N",0.024,"milligramsPerLiter","GOOD"
"199","HOPB","D01","HOPB.AOS.S2",2019-03-28 13:54:00,"DOC",1.347,"milligramsPerLiter","GOOD"
"200","HOPB","D01","HOPB.AOS.S2",2019-03-28 13:54:00,"TP",0.038,"milligramsPerLiter","GOOD"
"201","HOPB","D01","HOPB.AOS.S2",2019-04-04 13:06:00,"DOC",1.717,"milligramsPerLiter","GOOD"
"202","HOPB","D01","HOPB.AOS.S2",2019-04-04 13:06:00,"TP",0.001,"milligramsPerLiter","GOOD"
"203","HOPB","D01","HOPB.AOS.S2",2019-04-09 14:44:00,"DOC",2.287,"milligramsPerLiter","GOOD"
"204","HOPB","D01","HOPB.AOS.S2",2019-04-09 14:44:00,"TP",0.127,"milligramsPerLiter","GOOD"
"205","HOPB","D01","HOPB.AOS.S2",2019-04-15 15:04:00,"TP",0.0459,"milligramsPerLiter","GOOD"
"206","HOPB","D01","HOPB.AOS.S2",2019-04-15 15:04:00,"DOC",4.335,"milligramsPerLiter","GOOD"
"207","HOPB","D01","HOPB.AOS.S2",2019-04-25 13:30:00,"DOC",2.496,"milligramsPerLiter","GOOD"
"208","HOPB","D01","HOPB.AOS.S2",2019-04-25 13:30:00,"NO3+NO2 - N",0.0028,"milligramsPerLiter","GOOD"
"209","HOPB","D01","HOPB.AOS.S2",2019-04-25 13:30:00,"TP",0.0353,"milligramsPerLiter","GOOD"
"210","HOPB","D01","HOPB.AOS.S2",2019-05-13 13:35:00,"TP",0.2646,"milligramsPerLiter","GOOD"
"211","HOPB","D01","HOPB.AOS.S2",2019-05-13 13:35:00,"DOC",2.469,"milligramsPerLiter","GOOD"
"212","HOPB","D01","HOPB.AOS.S2",2019-05-21 12:36:00,"TP",0.1759,"milligramsPerLiter","GOOD"
"213","HOPB","D01","HOPB.AOS.S2",2019-05-21 12:36:00,"NO3+NO2 - N",1.5293,"milligramsPerLiter","GOOD"
"214","HOPB","D01","HOPB.AOS.S2",2019-05-21 12:36:00,"DOC",2.608,"milligramsPerLiter","GOOD"
"215","HOPB","D01","HOPB.AOS.S2",2019-06-03 14:01:00,"DOC",2.829,"milligramsPerLiter","GOOD"
"216","HOPB","D01","HOPB.AOS.S2",2019-06-03 14:01:00,"DOC",3.013,"milligramsPerLiter","GOOD"
"217","HOPB","D01","HOPB.AOS.S2",2019-06-03 14:01:00,"TP",0.269,"milligramsPerLiter","GOOD"
