"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"NW10OB0003","2000-07-12 20:19","<","20.0000","","","102137","NG/L","BENZO(A)PHENANTHRENE","BENZO(A)PHÉNANTHRÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","68.6000","","","102141","NG/L","BENZO(A)PYRENE","BENZO(A)PYRÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","83.9000","","","102138","NG/L","BENZO(B)FLUORANTHENE","BENZO(B)FLUORANTHÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","70.0000","","","102140","NG/L","BENZO(E)PYRENE","BENZO(E)PYRÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","114.0000","","","102145","NG/L","BENZO(G,H,I)PERYLENE","BENZO(G,H,I)PÉRYLÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","81.4000","","","102139","NG/L","BENZO(K)FLUORANTHENE","BENZO(K)FLUORANTHÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","7.8200","","","102135","NG/L","BENZOPHENANTHRENE","BENZOPHÉNANTHRÈNE","P"
"NW10OB0003","2000-07-12 20:19","<",".0010","","","100083","MG/L","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","<",".0500","","","100218","UG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".8800","","","102105","NG/L","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P"
"NW10OB0003","2000-07-12 20:19","",".0500","","","100097","MG/L","BORON EXTRACTABLE","BORE EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100084","MG/L","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","<",".0001","","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","","22.7000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","","23.4000","","","100098","MG/L","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","","22.5000","","","100232","MG/L","CALCIUM TOTAL","CALCIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","","4.3000","","","6101","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","",".4900","","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100086","MG/L","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","<",".0002","","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100085","MG/L","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0002","","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<","5.0000","","","2021","REL UNITS","COLOUR TRUE","COULEUR VRAIE","P"
"NW10OB0003","2000-07-12 20:19","",".0050","","","100087","MG/L","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0011","","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<","100.0000","","","102144","NG/L","DIBENZ(A,H)ANTHRACENE","DIBENZ(A,H)ANTHRACÈNE","P"
"NW10OB0003","2000-07-12 20:19","<",".3500","","","102102","NG/L","DIELDRIN","DIELDRINE","P"
"NW10OB0003","2000-07-12 20:19","<",".5500","","","102104","NG/L","ENDRIN","ENDRINE","P"
"NW10OB0003","2000-07-12 20:19","","91.0000","","","102109","%","ENDRIN KETONE (SURROGATE).","ENDRINE CÉTONE (SUBSTITUT).","P"
"NW10OB0003","2000-07-12 20:19","<","8.7000","","","102134","NG/L","FLUORANTHENE","FLUORANTHÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","25.1000","","","102131","NG/L","FLUORENE","FLUORÈNE","P"
"NW10OB0003","2000-07-12 20:19","",".0100","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","","3.4700","","","102094","NG/L","GAMMA-BENZENEHEXACHLORIDE (LINDANE)","GAMMA-HEXACHLORURE DE BENZÈNE (LINDANE)","P"
"NW10OB0003","2000-07-12 20:19","<",".3300","","","102099","NG/L","GAMMA-CHLORDANE","GAMMA-CHLORDANE","P"
"NW10OB0003","2000-07-12 20:19","","98.6750","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"NW10OB0003","2000-07-12 20:19","<",".8200","","","102096","NG/L","HEPTACHLOR","HEPTACHLORE","P"
"NW10OB0003","2000-07-12 20:19","<",".1700","","","102098","NG/L","HEPTACHLOR EPOXIDE","ÉPOXYDE D'HEPTACHLORE","P"
"NW10OB0003","2000-07-12 20:19","<",".6200","","","102092","NG/L","HEXACHLOROBENZENE","HEXACHLOROBENZÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","14.5000","","","102123","NG/L","INDENE","INDÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","133.0000","","","102143","NG/L","INDENO(1,2,3-C,D)PYRENE","INDÉNO(1,2,3-C,D)PYRÈNE","P"
"NW10OB0003","2000-07-12 20:19","",".0830","","","100088","MG/L","IRON EXTRACTABLE","FER EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".2680","","","100223","MG/L","IRON TOTAL","FER TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".0200","","","100093","MG/L","LEAD EXTRACTABLE","PLOMB EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0004","","","100228","MG/L","LEAD TOTAL","PLOMB TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100089","MG/L","LITHIUM EXTRACTABLE","LITHIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0010","","","100224","MG/L","LITHIUM TOTAL","LITHIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","","10.2000","","","12102","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","","11.4000","","","100099","MG/L","MAGNESIUM EXTRACTABLE/UNFILTERED","MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","","10.6000","","","100233","MG/L","MAGNESIUM TOTAL","MAGNÉSIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","",".0070","","","100090","MG/L","MANGANESE EXTRACTABLE","MANGANÈSE EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0077","","","100225","MG/L","MANGANESE TOTAL","MANGANÈSE TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<","1.4100","","","102111","NG/L","MIREX","MIREX","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100091","MG/L","MOLYBDENUM EXTRACTABLE","MOLYBDÈNE EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0001","","","100226","MG/L","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<","20.0000","","","102125","NG/L","NAPHTHALENE","NAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","<",".0100","","","100092","MG/L","NICKEL EXTRACTABLE","NICKEL EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0004","","","100227","MG/L","NICKEL TOTAL","NICKEL TOTAL","P"
"NW10OB0003","2000-07-12 20:19","",".0210","","","7110","MG/L","NITROGEN DISSOLVED NO3 & NO2","AZOTE DISSOUS NO3 & NO2","P"
"NW10OB0003","2000-07-12 20:19","",".0440","","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","<",".7500","","","102107","NG/L","O,P'-DDT (2,4'-DDT)","O,P'-DDT (2,4'-DDT)","P"
"NW10OB0003","2000-07-12 20:19","<","1.2800","","","102103","NG/L","P,P'-DDE (4,4'-DDE)","P,P'-DDE (4,4'-DDE)","P"
"NW10OB0003","2000-07-12 20:19","<","1.3000","","","102108","NG/L","P,P'-DDT (4,4'-DDT)","P,P'-DDT (4,4'-DDT)","P"
"NW10OB0003","2000-07-12 20:19","<","2.2400","","","102106","NG/L","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-DICHLORODIPHÉNYL DICHLOROÉTHANE (P,P'-DDD) OU 1,2-DIPHÉNYL TÉTRACHLOROÉTHANE (4,4'-DDD)","P"
"NW10OB0003","2000-07-12 20:19","<","7.9000","","","102110","NG/L","P,P'-METHOXYCHLOR (METHOXYCHLOR)","P,P'-MÉTHOXYCHLORE (MÉTHOXYCHLORE)","P"
"NW10OB0003","2000-07-12 20:19","<","100.0000","","","102142","NG/L","PERYLENE","PÉRYLÈNE","P"
"NW10OB0003","2000-07-12 20:19","","8.4200","","","109026","PH UNITS","PH","PH","P"
"NW10OB0003","2000-07-12 20:19","","8.3000","","","10301","PH UNITS","PH","PH","P"
"NW10OB0003","2000-07-12 20:19","<","33.8000","","","102132","NG/L","PHENANTHRENE","PHÉNANTHRÈNE","P"
"NW10OB0003","2000-07-12 20:19","",".0100","","","15411","MG/L","PHOSPHORUS TOTAL","PHOSPHORE TOTAL","P"
"NW10OB0003","2000-07-12 20:19","",".0100","","","15104","MG/L","PHOSPHORUS TOTAL DISSOLVED","PHOSPHORE TOTAL DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","<","20.0000","","","102133","NG/L","P-NAPHTHALENE","P-NAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","2.0000","","","100101","MG/L","POTASSIUM EXTRACTABLE/UNFILTERED","POTASSIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","",".5500","","","100235","MG/L","POTASSIUM TOTAL","POTASSIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","",".5000","","","100499","MG/L","POTASSIUM, FILTERED","POTASSIUM, FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","","157.0000","","","10451","MG/L","RESIDUE FILTERABLE","RÉSIDU FILTRABLE","P"
"NW10OB0003","2000-07-12 20:19","<","3.0000","","","10406","MG/L","RESIDUE NONFILTRABLE","RÉSIDUS NON-FILTRABLES","P"
"NW10OB0003","2000-07-12 20:19","<",".0001","","","100254","MG/L","SELENIUM DISSOLVED","SÉLÉNIUM DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","<",".0001","","","100324","MG/L","SILVER TOTAL","ARGENT TOTAL","P"
"NW10OB0003","2000-07-12 20:19","","1.7600","","","14108","MG/L","SIO2","SIO2","P"
"NW10OB0003","2000-07-12 20:19","<","2.0000","","","100100","MG/L","SODIUM EXTRACTABLE/UNFILTERED","SODIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","",".9550","","","11250","%","SODIUM PERCENTAGE (CALCD.)","POURCENTAGE SODIUM (CALC.)","P"
"NW10OB0003","2000-07-12 20:19","",".3300","","","100234","MG/L","SODIUM TOTAL","SODIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","",".4400","","","100500","MG/L","SODIUM, FILTERED","SODIUM, FILTRÉ","P"
"NW10OB0003","2000-07-12 20:19","","189.0000","","","2041","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"NW10OB0003","2000-07-12 20:19","","230.0000","","","109027","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"NW10OB0003","2000-07-12 20:19","",".0520","","","100094","MG/L","STRONTIUM EXTRACTABLE","STRONTIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0511","","","100229","MG/L","STRONTIUM TOTAL","STRONTIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","","5.8000","","","16306","MG/L","SULPHATE DISSOLVED","SULPHATES DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","","11.0000","","","109028","DEG C","TEMPERATURE WATER","TEMPÉRATURE DE L'EAU","P"
"NW10OB0003","2000-07-12 20:19","<","17.0000","","","102124","NG/L","TETRAHYDRONAPHTHALENE","TÉTRAHYDRONAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","","7.4000","","","2081","NTU","TURBIDITY","TURBIDITÉ","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100095","MG/L","VANADIUM EXTRACTABLE","VANADIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0004","","","100230","MG/L","VANADIUM TOTAL","VANADIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","100096","MG/L","ZINC EXTRACTABLE","ZINC EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0005","","","100231","MG/L","ZINC TOTAL","ZINC TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","149.0000","","","10101","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"NW10OB0003","2000-09-22 13:50","<",".0500","","","100081","MG/L","ALUMINUM EXTRACTABLE","ALUMINIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".1130","","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".0240","","","7563","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","<",".0001","","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","",".0440","","","100082","MG/L","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0432","","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0010","","","100083","MG/L","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","<",".0500","","","100218","UG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0100","","","100097","MG/L","BORON EXTRACTABLE","BORE EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100084","MG/L","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","<",".0001","","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","37.1000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","39.4000","","","100098","MG/L","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","","36.0000","","","100232","MG/L","CALCIUM TOTAL","CALCIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","4.4000","","","6101","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","1.0000","","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100086","MG/L","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","<",".0002","","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100085","MG/L","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0002","","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","15.0000","","","2021","REL UNITS","COLOUR TRUE","COULEUR VRAIE","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100087","MG/L","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0009","","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".0600","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","174.5670","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"NW10OB0003","2000-09-22 13:50","",".0860","","","100088","MG/L","IRON EXTRACTABLE","FER EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".1650","","","100223","MG/L","IRON TOTAL","FER TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0200","","","100093","MG/L","LEAD EXTRACTABLE","PLOMB EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","<",".0002","","","100228","MG/L","LEAD TOTAL","PLOMB TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".0060","","","100089","MG/L","LITHIUM EXTRACTABLE","LITHIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0023","","","100224","MG/L","LITHIUM TOTAL","LITHIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","19.9000","","","12102","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","21.4000","","","100099","MG/L","MAGNESIUM EXTRACTABLE/UNFILTERED","MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","","19.3000","","","100233","MG/L","MAGNESIUM TOTAL","MAGNÉSIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".0060","","","100090","MG/L","MANGANESE EXTRACTABLE","MANGANÈSE EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0059","","","100225","MG/L","MANGANESE TOTAL","MANGANÈSE TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100091","MG/L","MOLYBDENUM EXTRACTABLE","MOLYBDÈNE EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0001","","","100226","MG/L","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0100","","","100092","MG/L","NICKEL EXTRACTABLE","NICKEL EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0005","","","100227","MG/L","NICKEL TOTAL","NICKEL TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".0430","","","7110","MG/L","NITROGEN DISSOLVED NO3 & NO2","AZOTE DISSOUS NO3 & NO2","P"
"NW10OB0003","2000-09-22 13:50","",".7340","","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","8.3400","","","10301","PH UNITS","PH","PH","P"
"NW10OB0003","2000-09-22 13:50","","6.8700","","","109026","PH UNITS","PH","PH","P"
"NW10OB0003","2000-09-22 13:50","",".0070","","","15411","MG/L","PHOSPHORUS TOTAL","PHOSPHORE TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0040","","","15104","MG/L","PHOSPHORUS TOTAL DISSOLVED","PHOSPHORE TOTAL DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","<","2.0000","","","100101","MG/L","POTASSIUM EXTRACTABLE/UNFILTERED","POTASSIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","",".6200","","","100235","MG/L","POTASSIUM TOTAL","POTASSIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".6500","","","100499","MG/L","POTASSIUM, FILTERED","POTASSIUM, FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","","191.0000","","","10451","MG/L","RESIDUE FILTERABLE","RÉSIDU FILTRABLE","P"
"NW10OB0003","2000-09-22 13:50","<","3.0000","","","10406","MG/L","RESIDUE NONFILTRABLE","RÉSIDUS NON-FILTRABLES","P"
"NW10OB0003","2000-09-22 13:50","",".0001","","","100254","MG/L","SELENIUM DISSOLVED","SÉLÉNIUM DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","<",".0001","","","100324","MG/L","SILVER TOTAL","ARGENT TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","2.4600","","","14108","MG/L","SIO2","SIO2","P"
"NW10OB0003","2000-09-22 13:50","<","2.0000","","","100100","MG/L","SODIUM EXTRACTABLE/UNFILTERED","SODIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","",".7760","","","11250","%","SODIUM PERCENTAGE (CALCD.)","POURCENTAGE SODIUM (CALC.)","P"
"NW10OB0003","2000-09-22 13:50","",".5900","","","100234","MG/L","SODIUM TOTAL","SODIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","",".6300","","","100500","MG/L","SODIUM, FILTERED","SODIUM, FILTRÉ","P"
"NW10OB0003","2000-09-22 13:50","","306.0000","","","2041","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"NW10OB0003","2000-09-22 13:50","","292.0000","","","109027","USIE/CM","SPECIFIC CONDUCTANCE","CONDUCTIVITÉ SPÉCIFIQUE","P"
"NW10OB0003","2000-09-22 13:50","",".1380","","","100094","MG/L","STRONTIUM EXTRACTABLE","STRONTIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".1320","","","100229","MG/L","STRONTIUM TOTAL","STRONTIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","","14.3000","","","16306","MG/L","SULPHATE DISSOLVED","SULPHATES DISSOUS","P"
"NW10OB0003","2000-09-22 13:50","","2.9000","","","109028","DEG C","TEMPERATURE WATER","TEMPÉRATURE DE L'EAU","P"
"NW10OB0003","2000-09-22 13:50","","5.1000","","","2081","NTU","TURBIDITY","TURBIDITÉ","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100095","MG/L","VANADIUM EXTRACTABLE","VANADIUM EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0003","","","100230","MG/L","VANADIUM TOTAL","VANADIUM TOTAL","P"
"NW10OB0003","2000-09-22 13:50","<",".0050","","","100096","MG/L","ZINC EXTRACTABLE","ZINC EXTRACTIBLE","P"
"NW10OB0003","2000-09-22 13:50","",".0009","","","100231","MG/L","ZINC TOTAL","ZINC TOTAL","P"
"NW10OB0003","2002-06-21 13:10","","89.2000","","","10101","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"NW10OB0003","2002-06-21 13:10","","949.0000","","","103365","UG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P"
"NW10OB0003","2002-06-21 13:10","<",".0050","","","7563","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"NW10OB0003","2002-06-21 13:10","",".0100","","","103381","UG/L","ANTIMONY TOTAL","ANTIMOINE TOTAL","P"
"NW10OB0003","2002-06-21 13:10","",".0001","","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P"
"NW10OB0003","2002-06-21 13:10","","35.8000","","","103367","UG/L","BARIUM TOTAL","BARYUM TOTAL","P"
"NW10OB0003","2002-06-21 13:10","",".0440","","","103368","UG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P"
"NW10OB0003","2002-06-21 13:10","",".0100","","","103713","UG/L","BISMUTH TOTAL","BISMUTH TOTAL","P"
"NW10OB0003","2002-06-21 13:10","","6.2000","","","103366","UG/L","BORON TOTAL","BORE TOTAL","P"
"NW10OB0003","2002-06-21 13:10","<",".0050","","","103369","UG/L","CADMIUM TOTAL","CADMIUM TOTAL","P"
"NW10OB0003","2002-06-21 13:10","","21.2000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"NW10OB0003","2002-06-21 13:10","","3.6000","","","6101","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"NW10OB0003","2002-06-21 13:10","","2.4400","","","6902","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"NW10OB0003","2002-06-21 13:10","","1.1100","","","103714","UG/L","CERIUM TOTAL","CÉRIUM TOTAL","P"
"NW10OB0003","2002-06-21 13:10","",".0950","","","103715","UG/L","CESIUM TOTAL","CÉSIUM TOTAL","P"
