SITE_TYPE,SITE TYPE,TYPE DE SITE,"SAMPLE SITE TYPE (E.G. RIVER, LAKE, ETC.)","TYPE DE SITE D'ÉCHANTILLONNAGE (P.EX., RIVIÈRE, LAC, ETC.)"
STATUS_STATUT,VALIDATION STATUS,ÉTAT DE VALIDATION,"LEVEL OF VALIDATION (P-PROVISIONAL, V-VALIDATED)","NIVEAU DE VALIDATION (P-PROVISOIRE, V-VALIDÉE)"
UNIT_NAME,UNIT NAME,NOM DE L'UNITÉ,FULL MEASUREMENT UNIT NAME FROM NATIONAL VMV DICTIONARY,NOM DE L'UNITÉ DE MESURE COMPLÈTE DU DICTIONNAIRE VMV NATIONAL
UNIT_UNITÉ,UNIT,UNITÉ,MEASUREMENT UNIT ABBREVIATION FROM NATIONAL VMV DICTIONARY,ABRÉVIATION DU NOM DE L'UNITÉ DE MESURE DU DICTIONNAIRE VMV NATIONAL
UNITÉ_NOM,UNIT NAME (FRENCH),NOM DE L'UNITÉ (FRANÇAIS),MEASUREMENT UNIT ABBREVIATION (FRENCH),NOM DE L'UNITÉ DE MESURE COMPLÈTE DU DICTIONNAIRE VMV NATIONAL (FRANÇAIS)
VALUE_VALEUR,MEASUREMENT VALUE,VALEUR DE LA MESURE,MEASUREMENT VALUE OR CONCENTRATION,VALEUR DE LA MESURE OU CONCENTRATION
VARIABLE,VARIABLE NAME,NOM DE LA VARIABLE,VARIABLE NAME FROM NATIONAL VMV DICTIONARY,NOM DE LA VARIABLE DU DICTIONNAIRE VMV NATIONAL
VARIABLE_CODE,VARIABLE CODE,CODE DE LA VARIABLE,NUMERIC VARIABLE CODE FROM NATIONAL VMV DICTIONARY,CODE NUMÉRIQUE DE LA VARIABLE DU DICTIONNAIRE VMV NATIONAL
VARIABLE_FR,VARIABLE NAME (FRENCH),NOM DE LA VARIABLE (FRANÇAIS),VARIABLE NAME FROM NATIONAL VMV DICTIONARY (FRENCH),NOM DE LA VARIABLE DU DICTIONNAIRE VMV NATIONAL (FRANÇAIS)
VARIABLE_TYPE,VARIABLE TYPE,TYPE DE VARIABLE,VARIABLE TYPE FROM NATIONAL VMV DICTIONARY,TYPE DE VARIABLE DU DICTIONNAIRE VMV NATIONAL
VARIABLE_TYPE_FR,VARIABLE TYPE (FRENCH),TYPE DE VARIABLE (FRANÇAIS),VARIABLE TYPE FROM NATIONAL VMV DICTIONARY (FRENCH),TYPE DE VARIABLE DU DICTIONNAIRE VMV NATIONAL (FRANÇAIS)
VMV_CODE,VMV CODE,CODE VMV,NUMERIC VALID METHOD VARIABLE (VMV) CODE FROM NATIONAL VMV DICTIONARY,CODE DE LA VARIABLE ET MÉTHODE VALIDE (VMV) NUMÉRIQUE DU DICTIONNAIRE VMV NATIONAL
